author;term;termCount;totalTerms;articleCount;totalArticles;termPercent;inverseDocumentFrequency;criterion
AaronPressman;internet;201;18783;29;50;1.07;2.421;2.591
AaronPressman;new;91;18783;39;50;0.484;0.527;0.255
AaronPressman;technology;15;18783;9;50;0.08;2.144;0.171
AaronPressman;cyberspace;13;18783;10;50;0.069;4.934;0.341
AaronPressman;old;13;18783;9;50;0.069;2.271;0.157
AaronPressman;national;22;18783;12;50;0.117;1.793;0.21
AaronPressman;consumers;22;18783;13;50;0.117;2.648;0.31
AaronPressman;league;6;18783;1;50;0.032;4.063;0.13
AaronPressman;said;319;18783;50;50;1.698;0.007;0.012
AaronPressman;wednesday;16;18783;11;50;0.085;1.338;0.114
AaronPressman;popular;6;18783;4;50;0.032;3.012;0.096
AaronPressman;scam;3;18783;1;50;0.016;6.032;0.096
AaronPressman;early;9;18783;9;50;0.048;1.464;0.07
AaronPressman;investors;9;18783;4;50;0.048;1.749;0.084
AaronPressman;fund;5;18783;4;50;0.027;2.377;0.063
AaronPressman;paid;8;18783;4;50;0.043;2.637;0.112
AaronPressman;deposits;3;18783;2;50;0.016;3.817;0.061
AaronPressman;later;6;18783;6;50;0.032;2.256;0.072
AaronPressman;non;29;18783;20;50;0.154;2.307;0.356
AaronPressman;profit;6;18783;6;50;0.032;1.638;0.052
AaronPressman;consumer;18;18783;14;50;0.096;2.248;0.215
AaronPressman;group;34;18783;17;50;0.181;0.972;0.176
AaronPressman;web;23;18783;9;50;0.122;3.576;0.438
AaronPressman;scams;3;18783;1;50;0.016;7.131;0.114
AaronPressman;site;22;18783;10;50;0.117;3.417;0.4
AaronPressman;set;7;18783;6;50;0.037;1.452;0.054
AaronPressman;world;19;18783;11;50;0.101;1.236;0.125
AaronPressman;wide;8;18783;8;50;0.043;2.682;0.114
AaronPressman;february;3;18783;3;50;0.016;2.706;0.043
AaronPressman;called;19;18783;14;50;0.101;1.781;0.18
AaronPressman;fraud;10;18783;4;50;0.053;4.328;0.23
AaronPressman;watch;3;18783;1;50;0.016;3.932;0.063
AaronPressman;http;8;18783;7;50;0.043;5.627;0.24
AaronPressman;www;8;18783;7;50;0.043;5.339;0.227
AaronPressman;org;4;18783;4;50;0.021;6.438;0.137
AaronPressman;reports;4;18783;2;50;0.021;2.768;0.059
AaronPressman;directly;3;18783;3;50;0.016;3.358;0.054
AaronPressman;widely;4;18783;4;50;0.021;2.919;0.062
AaronPressman;praised;8;18783;8;50;0.043;4.689;0.2
AaronPressman;law;44;18783;24;50;0.234;2.303;0.539
AaronPressman;enforcement;11;18783;7;50;0.059;4.78;0.28
AaronPressman;agencies;7;18783;6;50;0.037;4.241;0.158
AaronPressman;information;35;18783;18;50;0.186;2.335;0.435
AaronPressman;director;13;18783;9;50;0.069;1.753;0.121
AaronPressman;federal;60;18783;28;50;0.319;2.477;0.791
AaronPressman;trade;23;18783;11;50;0.122;1.833;0.224
AaronPressman;commission;35;18783;10;50;0.186;2.271;0.423
AaronPressman;protection;6;18783;6;50;0.032;3.854;0.123
AaronPressman;major;8;18783;8;50;0.043;1.282;0.055
AaronPressman;help;5;18783;5;50;0.027;1.873;0.05
AaronPressman;particular;4;18783;4;50;0.021;3.507;0.075
AaronPressman;example;18;18783;13;50;0.096;3.115;0.298
AaronPressman;used;11;18783;11;50;0.059;1.998;0.117
AaronPressman;shut;3;18783;3;50;0.016;3.781;0.06
AaronPressman;run;6;18783;6;50;0.032;2.065;0.066
AaronPressman;alliance;11;18783;5;50;0.059;2.98;0.175
AaronPressman;million;21;18783;11;50;0.112;0.605;0.068
AaronPressman;earn;5;18783;3;50;0.027;3.781;0.101
AaronPressman;month;21;18783;19;50;0.112;1.378;0.154
AaronPressman;deposit;3;18783;2;50;0.016;3.417;0.055
AaronPressman;instead;8;18783;8;50;0.043;2.665;0.114
AaronPressman;money;7;18783;5;50;0.037;1.932;0.072
AaronPressman;charged;5;18783;5;50;0.027;3.455;0.092
AaronPressman;times;4;18783;4;50;0.021;2.421;0.052
AaronPressman;local;27;18783;7;50;0.144;1.855;0.267
AaronPressman;state;16;18783;8;50;0.085;1.531;0.13
AaronPressman;second;8;18783;4;50;0.043;1.442;0.061
AaronPressman;sale;5;18783;4;50;0.027;2.356;0.063
AaronPressman;services;42;18783;22;50;0.224;1.765;0.395
AaronPressman;designed;5;18783;5;50;0.027;3.281;0.087
AaronPressman;sites;22;18783;8;50;0.117;3.817;0.447
AaronPressman;access;47;18783;16;50;0.25;2.491;0.623
AaronPressman;crooks;3;18783;3;50;0.016;6.438;0.103
AaronPressman;sell;4;18783;3;50;0.021;2.001;0.043
AaronPressman;computer;43;18783;22;50;0.229;2.252;0.516
AaronPressman;net;16;18783;9;50;0.085;2.046;0.174
AaronPressman;significantly;4;18783;3;50;0.021;3.43;0.073
AaronPressman;lower;13;18783;8;50;0.069;1.803;0.125
AaronPressman;goods;6;18783;6;50;0.032;3.249;0.104
AaronPressman;business;25;18783;19;50;0.133;1.004;0.134
AaronPressman;offer;6;18783;6;50;0.032;1.894;0.061
AaronPressman;using;16;18783;14;50;0.085;2.417;0.206
AaronPressman;predictions;3;18783;3;50;0.016;4.328;0.069
AaronPressman;working;7;18783;7;50;0.037;2.526;0.094
AaronPressman;home;4;18783;4;50;0.021;2.165;0.046
AaronPressman;announced;9;18783;8;50;0.048;1.657;0.079
AaronPressman;tuesday;17;18783;11;50;0.091;1.303;0.118
AaronPressman;sponsor;3;18783;2;50;0.016;5.051;0.081
AaronPressman;postal;4;18783;1;50;0.021;5.259;0.112
AaronPressman;service;29;18783;11;50;0.154;1.908;0.295
AaronPressman;plan;28;18783;10;50;0.149;1.892;0.282
AaronPressman;boost;7;18783;6;50;0.037;2.196;0.082
