AUTHOR,CC,CD,DT,EX,FW,IN,JJ,JJR,JJS,LS,MD,NN,NNS,NP,NPS,PDT,POS,PP,PP$,RB,RBR,RBS,RP,SYM,TO,UH,VB,VBD,VBG,VBN,VBP,VBZ,WDT,WP,WP$,WRB,WordPerLine,StdDeviation_WPL
WilliamKazer,617,496,2347,40,0,2982,1995,87,41,0,269,3628,1646,2623,77,5,268,491,227,768,29,18,77,2,655,0,771,1196,501,697,268,431,113,56,4,48,25.501111111111,8.5240182809706
AaronPressman,685,305,2472,26,3,2604,1768,85,38,9,387,3914,2005,2181,72,10,155,383,131,739,46,19,70,0,653,1,973,900,560,602,362,416,138,67,6,32,29.359947643979,10.524218790442
JonathanBirt,587,958,1977,33,5,3100,1679,95,46,0,287,3760,1577,2411,47,6,232,452,236,786,47,13,82,0,627,1,699,1039,454,532,264,390,171,45,9,52,31.640988372093,12.680689639006
DarrenSchuettler,693,1017,2409,38,0,3078,2046,148,127,0,225,4406,2078,3469,95,6,428,471,308,680,69,15,91,12,743,2,760,1161,426,619,431,476,83,56,3,61,25.982688391039,8.9434012187261
NickLouth,870,906,2595,31,0,3341,2212,134,87,12,535,5096,1829,3563,181,21,242,675,225,1022,51,16,119,0,738,1,1079,1088,542,639,409,692,146,64,9,71,28.140316205534,10.217983599166
MatthewBunce,809,1325,1784,59,0,3109,1715,151,69,5,347,4373,2428,2351,15,3,193,457,130,954,53,6,136,14,658,0,775,1216,532,864,467,459,64,46,4,41,25.27950310559,9.9760860106878
JohnMastrini,704,797,2757,23,0,3323,2119,156,47,0,364,4308,1439,2739,74,7,293,542,306,817,77,11,80,3,655,7,829,1149,413,602,253,423,138,82,6,62,27,10.486947169496
FumikoFujisaki,628,956,2489,23,0,3313,2504,132,67,0,416,4644,2520,2441,82,10,291,540,225,786,61,7,150,0,790,0,1075,1104,490,699,440,407,141,17,6,53,29.678173719376,9.8583504565841
MartinWolk,703,916,2427,19,0,3178,2174,164,92,0,330,4300,1790,2729,66,15,293,565,268,905,74,10,66,0,757,0,895,1110,527,673,360,509,197,49,2,52,29.686087990488,9.282533636504
RobinSidel,580,491,2274,27,0,2889,1525,118,52,0,364,4065,1384,3248,88,8,290,502,314,814,65,7,62,0,759,1,1009,1048,444,800,368,589,174,68,0,35,28.569007263923,10.455287399574
JaneMacartney,797,716,2948,39,0,3914,2543,95,63,0,296,4817,2072,2866,74,7,321,638,293,985,36,31,142,1,940,3,1048,1454,609,956,386,513,168,112,5,75,29.584008097166,9.6973444405319
AlanCrosby,553,1103,2413,26,0,2845,1885,119,62,0,254,3567,1386,2659,45,6,210,459,217,895,46,8,95,2,469,0,629,1108,422,519,298,329,113,53,3,48,24.079207920792,12.81493460723
ScottHillis,694,639,2287,23,4,3153,1994,91,41,0,332,3744,1812,3035,68,7,343,487,242,677,43,20,95,8,777,0,937,1206,497,767,252,438,101,84,4,74,27.048098434004,8.5358129459372
