TAG,CC,CD,DT,EX,FW,IN,JJ,JJR,JJS,LS,MD,NN,NNS,NP,NPS,PDT,POS,PP,PP$,RB,RBR,RBS,RP,SYM,TO,UH,VB,VBD,VBG,VBN,VBP,VBZ,WDT,WP,WP$,WRB
CC,2,11,91,2,0,30,101,3,0,0,11,114,83,42,2,0,0,23,3,33,3,1,0,0,4,0,59,17,12,14,8,12,2,0,0,2
CD,8,15,16,0,0,48,32,0,0,0,0,81,65,12,0,0,0,3,0,0,0,0,0,0,13,0,0,3,4,1,0,0,2,0,0,2
DT,2,31,1,0,1,16,484,16,10,0,5,1214,186,394,8,0,0,7,0,9,4,13,0,0,1,0,0,5,32,12,0,18,0,3,0,0
EX,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,19,0,0,0,0
FW,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IN,4,89,1017,6,0,49,282,18,9,0,0,357,204,272,3,4,0,55,51,31,3,1,0,0,4,0,1,0,113,14,2,0,4,8,0,3
JJ,39,29,10,0,0,109,150,0,0,0,0,813,471,60,1,0,0,8,0,5,0,0,0,0,50,0,4,6,7,1,1,3,0,0,0,1
JJR,1,0,1,0,0,20,7,0,0,0,0,29,25,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JJS,0,1,2,0,0,10,3,0,0,0,0,9,9,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0
LS,0,0,6,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MD,4,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,58,0,0,0,0,3,0,319,0,0,0,0,0,0,0,0,0
NN,233,20,192,6,0,990,84,3,4,3,120,528,509,192,2,1,61,71,4,94,4,2,0,0,162,0,7,227,92,69,14,159,47,5,1,7
NNS,219,6,121,6,0,463,50,2,2,1,107,75,57,57,0,0,10,42,0,90,10,2,3,0,104,0,11,157,93,52,147,19,51,37,2,9
NP,84,30,81,1,1,126,47,1,3,1,37,208,72,877,55,0,83,5,0,36,0,0,0,0,39,0,0,267,11,6,13,56,28,9,3,1
NPS,8,0,3,0,0,3,1,0,0,0,3,3,3,39,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,0,1,0,1,0,0,0
PDT,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POS,0,2,0,0,0,1,23,0,2,0,0,85,19,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0
PP,3,0,5,1,0,8,9,0,0,0,61,0,0,5,0,0,0,4,0,21,1,0,2,0,6,0,0,97,0,0,105,54,0,1,0,0
PP$,0,1,0,0,0,0,35,0,1,0,0,61,30,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RB,8,17,61,1,0,100,70,11,0,0,6,5,9,14,0,0,0,21,0,43,5,0,0,0,20,0,108,50,48,90,25,24,0,0,0,3
RBR,0,0,7,0,0,4,16,0,0,0,0,2,0,2,0,0,0,1,0,5,0,0,0,0,2,0,2,1,0,4,0,0,0,0,0,0
RBS,0,0,0,0,0,0,17,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
RP,5,2,19,0,0,20,3,0,0,0,0,1,5,3,0,0,0,1,1,2,0,0,0,0,6,0,0,0,2,0,0,0,0,0,0,0
SYM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TO,1,19,59,0,0,2,28,1,0,0,0,29,13,20,0,0,0,2,3,15,2,0,0,0,0,0,448,0,9,1,0,0,1,0,0,0
UH,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VB,23,15,259,0,0,86,94,12,3,0,0,81,87,26,0,0,0,22,25,45,2,0,18,0,47,0,7,3,8,106,0,0,0,3,0,1
VBD,15,6,226,2,0,128,59,10,2,4,0,27,41,90,1,3,0,60,17,67,7,0,11,0,31,0,2,1,23,65,0,0,1,0,0,1
VBG,7,1,110,0,0,77,60,1,1,0,0,115,62,13,0,1,0,9,7,8,2,0,12,0,48,0,1,4,7,9,0,3,0,1,0,1
VBN,15,4,53,0,0,250,26,3,0,0,1,32,33,21,0,0,0,12,7,22,0,0,19,0,67,0,0,0,15,19,1,0,1,0,0,1
VBP,2,1,36,1,0,39,43,3,0,0,0,18,9,5,0,1,1,12,4,46,0,0,4,0,15,0,1,1,41,78,0,1,0,0,0,0
VBZ,2,5,73,0,0,23,35,0,0,0,1,16,11,5,0,0,0,8,8,99,3,0,1,0,30,1,3,0,33,59,0,0,0,0,0,0
WDT,0,0,2,0,0,2,3,0,0,0,29,0,1,1,0,0,0,0,0,3,0,0,0,0,0,0,0,33,0,0,26,38,0,0,0,0
WP,0,0,0,0,0,0,1,0,0,0,1,2,0,0,0,0,0,8,0,4,0,0,0,0,0,0,0,22,1,0,18,10,0,0,0,0
WP$,0,0,0,0,0,0,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WRB,0,0,10,0,0,0,3,0,1,0,0,0,1,2,0,0,0,9,1,1,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0
