TAG,CC,CD,DT,EX,FW,IN,JJ,JJR,JJS,LS,MD,NN,NNS,NP,NPS,PDT,POS,PP,PP$,RB,RBR,RBS,RP,SYM,TO,UH,VB,VBD,VBG,VBN,VBP,VBZ,WDT,WP,WP$,WRB
CC,0,16,110,9,0,40,74,5,1,0,18,121,65,142,3,0,0,40,15,41,1,0,0,0,6,1,35,47,25,8,10,29,0,5,0,1
CD,25,120,21,5,0,70,29,0,1,0,3,228,210,29,0,0,0,9,2,3,0,0,1,0,14,0,0,17,4,4,1,6,1,4,0,0
DT,0,74,0,0,0,28,711,36,27,0,20,1454,221,231,4,0,0,5,0,43,4,4,0,0,0,0,0,26,25,17,6,34,0,5,0,0
EX,0,0,0,0,0,0,0,0,0,0,17,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,6,15,0,0,0,0
FW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IN,3,195,1295,6,0,67,296,18,11,0,1,390,220,603,1,4,0,119,125,59,0,0,0,0,11,0,1,0,121,16,1,1,16,20,0,14
JJ,45,73,20,3,0,146,174,2,4,0,1,1062,443,95,0,0,0,16,0,12,0,0,0,0,87,0,0,3,7,4,0,1,0,0,0,1
JJR,2,3,2,0,0,27,13,0,0,0,0,55,20,6,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
JJS,1,5,0,0,0,17,9,0,0,0,0,26,13,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,2,0,0,0,0,0
LS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MD,2,0,0,0,0,4,0,0,0,0,0,0,0,2,0,0,0,2,0,81,2,0,0,0,1,0,393,1,0,0,0,0,0,0,0,0
NN,317,51,171,8,0,1429,84,7,1,0,106,684,330,324,0,0,75,145,10,89,13,0,1,0,170,0,5,321,75,87,25,182,72,16,0,7
NNS,184,9,109,5,0,508,64,5,2,0,87,112,31,141,0,0,12,64,7,76,4,1,3,0,77,0,2,168,69,37,125,23,38,11,2,12
