TAG,CC,CD,DT,EX,FW,IN,JJ,JJR,JJS,LS,MD,NN,NNS,NP,NPS,PDT,POS,PP,PP$,RB,RBR,RBS,RP,SYM,TO,UH,VB,VBD,VBG,VBN,VBP,VBZ,WDT,WP,WP$,WRB
CC,0,21,70,2,0,25,77,7,0,0,5,105,43,95,0,0,0,14,12,35,1,0,0,0,5,0,46,58,21,24,9,31,1,1,0,4
CD,38,28,31,0,0,99,43,0,1,0,4,102,172,40,2,0,0,8,2,11,1,1,0,0,5,0,0,10,12,7,3,8,1,4,0,4
DT,1,50,4,0,1,5,585,14,14,0,6,1316,176,290,2,0,0,1,0,15,1,8,0,0,0,0,0,5,13,24,2,7,0,0,0,0
EX,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,3,7,0,0,0,0
FW,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IN,4,194,1044,1,1,29,332,8,5,0,0,388,133,688,2,6,0,70,149,27,0,0,0,0,7,0,3,0,175,7,0,1,13,7,0,1
JJ,44,56,13,1,0,75,166,0,4,0,2,912,514,122,1,0,0,15,3,9,0,0,0,0,61,0,1,2,13,1,0,5,0,1,0,2
JJR,1,0,0,0,0,27,2,0,0,0,0,22,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
JJS,0,2,0,0,0,7,6,0,0,0,0,19,13,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,1
LS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MD,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,62,0,0,0,0,0,0,179,0,0,0,0,0,0,0,0,0
NN,267,28,220,2,0,1354,86,2,4,0,61,389,226,261,0,0,97,108,10,60,0,0,0,1,198,0,10,397,43,64,11,131,59,29,1,9
