TAG,CC,CD,DT,EX,FW,IN,JJ,JJR,JJS,LS,MD,NN,NNS,NP,NPS,PDT,POS,PP,PP$,RB,RBR,RBS,RP,SYM,TO,UH,VB,VBD,VBG,VBN,VBP,VBZ,WDT,WP,WP$,WRB
CC,0,9,76,4,0,34,85,6,0,0,20,66,45,117,0,0,0,55,19,25,4,2,0,2,10,0,23,49,14,10,10,11,1,1,0,8
CD,32,51,37,2,0,113,33,3,6,0,7,266,139,71,0,0,0,23,1,24,1,0,0,0,20,0,1,19,6,8,1,4,3,0,0,0
DT,0,90,1,0,0,30,607,31,9,0,4,868,135,204,0,0,0,4,0,17,13,5,0,0,0,0,1,7,32,14,0,5,3,0,0,0
EX,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,9,15,0,0,0,0
FW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IN,12,161,937,9,0,48,190,13,13,0,1,260,131,601,0,2,0,143,83,50,1,0,0,1,4,0,2,2,83,19,0,1,7,12,0,5
JJ,45,58,9,0,0,97,114,7,5,0,0,893,328,86,0,0,0,28,1,13,1,0,0,0,73,0,3,0,4,4,0,2,0,0,0,0
JJR,2,1,0,0,0,28,12,0,0,0,0,39,22,3,0,0,0,0,0,0,3,0,0,0,5,0,0,0,1,0,0,0,0,0,0,0
JJS,2,4,6,0,0,6,4,0,0,0,0,17,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0
LS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MD,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,90,1,0,0,0,1,0,306,1,0,1,0,0,0,0,0,0
NN,203,22,91,9,0,1048,62,14,0,0,77,606,315,267,0,1,53,132,6,93,16,0,1,3,130,0,8,217,36,69,13,93,36,1,0,18
NNS,151,14,49,2,0,444,37,6,0,0,52,68,29,56,0,0,19,73,1,47,6,1,0,1,67,0,3,169,35,20,56,9,25,6,0,4
NP,180,260,48,4,0,147,32,1,0,0,48,194,34,906,70,0,228,40,5,54,6,0,0,8,17,0,4,379,27,9,12,71,19,4,1,1
NPS,6,2,9,0,0,7,0,0,0,0,0,6,3,22,0,0,4,0,0,3,0,0,0,0,0,0,0,4,0,1,0,1,2,0,0,0
PDT,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POS,0,6,2,0,0,0,83,1,15,0,0,83,57,51,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,0,1,0,0,0,0,0
PP,5,1,14,1,0,11,2,1,0,0,166,0,1,14,0,0,0,6,0,51,2,0,2,0,5,0,2,270,2,0,145,67,0,0,0,2
PP$,0,17,0,0,0,0,82,0,1,0,0,81,37,13,0,0,0,0,0,5,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0
RB,16,56,42,3,0,143,79,7,1,0,1,3,2,35,0,0,0,45,0,72,10,0,0,0,37,0,128,91,34,74,17,14,0,4,0,5
RBR,2,0,8,0,0,10,35,0,0,0,0,1,0,2,0,0,0,0,0,6,0,0,0,0,0,0,6,12,2,1,0,0,0,0,0,1
RBS,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
RP,3,3,23,0,0,16,4,0,0,0,0,0,3,7,0,0,0,0,6,4,0,0,0,0,6,0,0,1,1,0,0,0,0,1,0,1
SYM,0,1,0,0,0,0,2,0,0,0,0,2,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0
TO,0,37,56,0,0,3,6,2,0,0,0,13,12,91,0,0,0,2,11,12,3,0,0,0,1,0,369,0,4,0,0,0,6,0,0,1
UH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VB,9,10,183,0,0,105,84,11,0,0,1,43,30,43,0,3,0,34,56,72,7,0,47,0,55,0,5,0,20,49,0,0,0,2,0,4
VBD,6,36,262,9,0,158,107,4,1,0,0,26,43,135,0,1,0,108,11,107,8,1,11,0,60,1,9,1,43,122,0,0,1,3,0,6
VBG,6,10,60,0,0,83,25,1,0,0,0,53,38,19,0,0,0,8,21,25,1,0,10,1,40,0,0,2,0,6,0,0,0,1,0,3
VBN,15,12,64,1,0,192,33,1,0,0,1,31,27,43,0,0,0,8,15,18,1,0,7,0,66,0,0,5,9,20,0,0,0,1,0,2
VBP,4,1,34,1,0,32,14,5,0,0,0,6,3,3,0,0,0,18,0,58,2,0,1,0,13,0,2,0,29,58,4,0,2,0,0,0
VBZ,3,10,44,0,0,33,27,1,1,0,0,11,4,7,0,0,0,10,4,57,0,1,0,0,19,3,1,0,16,76,0,0,0,0,0,4
WDT,0,0,3,0,0,0,0,0,0,0,12,0,0,5,0,0,0,7,0,5,0,0,0,0,0,0,0,31,0,0,15,27,0,0,0,0
