TAG,CC,CD,DT,EX,FW,IN,JJ,JJR,JJS,LS,MD,NN,NNS,NP,NPS,PDT,POS,PP,PP$,RB,RBR,RBS,RP,SYM,TO,UH,VB,VBD,VBG,VBN,VBP,VBZ,WDT,WP,WP$,WRB
CC,0,22,100,5,0,22,80,17,1,0,5,84,57,93,0,1,0,50,6,26,3,0,0,0,1,0,39,39,17,5,6,11,3,0,0,0
CD,24,32,39,0,0,154,52,1,5,0,3,295,228,60,0,1,1,10,1,19,0,0,0,3,34,0,0,12,22,10,4,3,0,1,0,3
DT,8,48,1,0,0,16,594,27,31,0,2,1133,176,275,11,0,0,1,0,20,5,3,0,0,0,0,0,2,17,15,3,21,0,0,0,0
EX,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,9,0,0,6,17,0,0,0,0
FW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IN,7,241,912,7,0,27,291,25,9,0,0,314,132,771,0,2,0,73,113,37,5,0,0,0,1,0,1,0,84,10,2,1,6,7,0,0
JJ,29,98,8,1,0,94,159,0,11,0,1,964,486,122,0,0,0,4,0,14,0,0,0,0,44,0,0,3,4,2,1,1,0,0,0,0
JJR,5,0,2,1,0,44,7,1,0,0,0,56,22,7,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0
JJS,0,4,2,0,0,19,14,0,0,0,1,66,16,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
LS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MD,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,45,2,0,0,0,0,0,174,0,0,0,0,0,0,0,0,0
