TAG,CC,CD,DT,EX,FW,IN,JJ,JJR,JJS,LS,MD,NN,NNS,NP,NPS,PDT,POS,PP,PP$,RB,RBR,RBS,RP,SYM,TO,UH,VB,VBD,VBG,VBN,VBP,VBZ,WDT,WP,WP$,WRB
CC,0,38,113,1,0,18,104,2,0,0,15,102,38,241,1,1,0,26,3,19,1,1,0,0,2,0,29,32,16,8,7,30,7,0,0,0
CD,52,7,30,0,0,109,73,5,0,0,6,167,290,102,0,0,0,3,0,4,2,0,0,0,16,0,0,15,5,2,3,5,1,2,0,4
DT,0,83,0,0,0,41,611,18,33,0,6,1322,241,340,1,0,0,1,0,13,1,0,0,0,0,0,0,3,27,14,1,4,3,0,0,2
EX,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,1,7,0,0,0,0
FW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IN,1,224,1240,3,0,40,275,24,6,0,2,281,158,812,0,0,0,92,117,45,3,0,0,0,4,0,0,2,77,9,0,1,3,2,0,0
JJ,41,99,16,0,0,98,264,4,0,0,0,833,577,172,0,0,0,13,0,12,0,0,0,0,61,0,0,1,7,2,0,0,0,0,0,1
JJR,1,0,0,0,0,43,2,0,0,0,0,24,32,12,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
JJS,0,2,1,0,0,13,23,0,0,0,0,18,2,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MD,2,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,46,0,0,0,0,1,0,282,0,0,0,0,0,0,0,0,0
NN,202,49,147,0,0,1223,46,3,1,0,67,647,456,299,0,1,117,99,1,104,17,0,4,0,165,0,3,221,85,62,15,195,88,4,0,11
NNS,196,8,154,2,0,756,42,3,1,0,68,48,147,142,0,0,7,44,3,104,4,2,1,0,111,0,9,236,59,80,150,29,92,14,2,3
NP,293,124,136,4,0,197,95,2,0,0,45,411,222,1368,132,0,316,42,0,34,5,0,0,0,34,0,6,347,31,7,38,145,49,8,0,13
NPS,5,0,5,0,0,4,0,0,0,0,1,35,8,59,0,0,3,0,0,1,0,0,0,0,1,0,0,10,0,0,2,0,0,0,0,0
PDT,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POS,2,34,0,0,0,0,145,0,15,0,0,92,37,101,0,0,0,0,0,7,1,5,0,0,0,0,0,0,2,2,0,0,0,0,0,0
PP,3,0,1,1,0,10,5,1,0,0,67,3,0,2,0,0,0,2,0,38,0,0,2,0,23,0,2,150,1,2,135,77,0,2,0,0
PP$,0,9,0,0,0,0,70,1,1,0,0,64,46,31,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0
RB,18,77,43,1,0,122,96,13,0,0,18,9,4,23,0,0,0,13,3,53,3,0,0,0,35,1,108,47,36,77,20,31,0,0,0,5
RBR,1,0,6,0,0,15,6,0,0,0,0,2,0,6,0,0,0,0,0,3,0,0,0,0,2,0,0,0,2,1,0,1,0,0,0,1
RBS,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP,0,2,28,0,0,49,9,0,0,0,0,3,14,12,0,0,0,0,1,3,0,0,0,0,9,0,0,0,2,0,0,0,0,0,0,0
SYM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TO,1,33,71,0,0,1,36,1,0,0,0,34,21,35,0,0,0,3,6,8,0,0,0,0,1,0,624,0,5,0,0,0,0,0,0,1
UH,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VB,4,19,224,0,0,141,107,12,4,0,0,58,77,62,0,0,0,38,47,53,5,0,49,0,78,0,2,3,14,66,0,0,1,1,0,4
VBD,10,28,233,6,0,105,51,8,0,0,0,33,35,150,0,1,0,70,22,93,0,1,41,0,86,0,3,0,56,109,0,0,0,0,0,2
VBG,12,24,112,0,0,70,22,2,0,0,0,80,50,29,0,0,0,12,7,14,0,0,19,0,60,0,0,1,6,2,0,2,0,0,0,0
VBN,9,12,46,0,0,273,45,2,2,0,0,22,15,38,0,0,0,6,7,26,1,0,13,0,105,0,0,1,17,16,0,1,2,0,0,0
VBP,1,8,48,0,0,39,32,7,0,0,0,19,12,14,0,0,0,16,5,71,0,0,3,0,26,0,1,5,29,92,0,0,0,0,0,0
VBZ,0,22,87,3,0,51,26,8,0,0,2,24,30,34,0,0,0,9,7,83,3,0,0,0,60,0,1,0,44,105,2,2,0,0,0,3
WDT,0,0,2,0,0,3,0,0,0,0,32,1,0,11,0,0,0,25,0,14,0,0,0,0,0,0,0,48,0,0,44,66,0,0,0,0
