TAG,CC,CD,DT,EX,FW,IN,JJ,JJR,JJS,LS,MD,NN,NNS,NP,NPS,PDT,POS,PP,PP$,RB,RBR,RBS,RP,SYM,TO,UH,VB,VBD,VBG,VBN,VBP,VBZ,WDT,WP,WP$,WRB
CC,1,21,48,1,0,35,76,2,0,0,7,86,36,118,3,0,0,13,5,26,2,0,0,0,3,0,35,36,23,2,1,17,2,2,0,1
CD,28,40,27,2,0,104,29,2,0,0,1,152,126,57,0,0,2,8,4,25,2,3,0,0,53,0,0,4,12,5,1,3,4,1,0,2
DT,1,28,3,0,0,22,588,27,34,0,7,1142,143,153,1,0,0,1,0,31,5,11,0,0,1,0,1,4,44,12,3,16,1,5,0,0
EX,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,5,12,0,0,0,0
FW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IN,2,160,963,2,0,49,381,33,12,0,0,464,208,534,0,6,0,67,172,58,2,1,0,0,2,0,3,2,112,8,0,0,14,6,0,1
JJ,24,78,13,0,0,126,169,3,2,0,2,1023,416,102,0,0,0,16,2,7,0,0,0,0,71,0,0,8,15,1,1,1,0,1,0,0
JJR,0,0,2,0,0,40,11,0,0,0,0,38,14,9,0,0,0,1,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0
JJS,0,4,0,0,0,10,12,0,0,0,0,24,16,0,0,0,0,0,0,2,0,0,0,0,1,0,1,0,0,2,0,0,0,0,0,0
LS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MD,0,0,2,0,0,1,0,0,1,0,2,0,0,0,0,0,2,1,0,30,0,0,0,0,0,0,247,0,0,0,0,1,0,0,0,0
NN,239,28,150,9,0,1319,75,4,2,0,93,835,535,332,2,0,99,95,7,107,10,2,3,0,204,0,4,243,63,92,12,177,77,15,0,11
NNS,124,7,101,1,0,504,55,3,1,0,49,106,90,138,0,0,8,55,7,94,7,0,3,0,104,0,5,216,88,42,133,13,34,31,0,10
NP,134,60,115,1,0,179,54,2,0,0,31,288,107,1051,144,0,229,45,4,38,2,3,0,0,32,0,0,334,24,12,12,128,31,18,0,7
NPS,7,0,7,0,0,4,0,0,0,0,2,11,4,87,0,0,7,0,0,0,0,0,0,0,0,0,0,9,0,0,0,9,1,2,0,0
