TAG,CC,CD,DT,EX,FW,IN,JJ,JJR,JJS,LS,MD,NN,NNS,NP,NPS,PDT,POS,PP,PP$,RB,RBR,RBS,RP,SYM,TO,UH,VB,VBD,VBG,VBN,VBP,VBZ,WDT,WP,WP$,WRB
CC,0,66,117,11,0,39,60,7,4,0,6,53,74,78,1,0,0,30,9,38,5,0,0,0,5,0,30,20,20,13,13,15,1,0,0,3
CD,25,52,17,0,0,79,42,1,4,0,2,287,170,12,0,0,0,4,0,13,0,0,0,0,3,0,0,2,1,5,2,4,0,0,0,0
DT,1,43,3,0,0,11,718,18,24,0,6,1174,357,313,4,0,0,0,0,22,4,9,0,0,3,0,0,1,13,13,3,22,0,0,0,0
EX,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,16,32,0,0,0,0
FW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IN,5,194,1184,5,0,47,373,32,24,0,0,302,221,492,2,1,0,72,57,54,2,0,0,0,14,0,1,3,97,9,0,1,9,8,0,6
JJ,46,41,27,1,0,98,171,2,1,0,1,971,587,69,2,0,0,10,0,5,0,0,0,0,69,0,0,12,9,7,2,3,0,2,0,3
JJR,5,0,3,0,0,40,15,0,0,0,0,31,25,2,0,0,0,2,0,1,0,0,0,0,2,0,0,1,0,0,0,1,0,0,0,0
JJS,2,3,4,0,0,25,5,0,0,0,0,21,16,1,0,0,0,0,0,1,0,0,0,0,1,0,2,0,1,1,0,0,0,0,0,0
LS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MD,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,74,2,0,0,0,0,0,235,0,0,0,0,0,0,0,0,0
NN,205,26,188,12,0,1280,58,7,2,0,85,537,427,96,4,0,52,115,3,104,7,1,3,5,167,0,1,302,78,46,20,173,27,4,0,12
NNS,218,9,104,6,0,633,56,1,4,0,76,65,147,41,0,0,9,53,3,94,4,0,6,0,125,0,5,293,86,53,225,48,51,8,0,6
NP,114,23,91,8,0,142,36,0,2,0,23,242,120,449,50,0,153,30,2,21,3,0,0,0,28,0,1,170,11,7,15,69,17,0,0,5
NPS,5,0,2,0,0,3,1,0,0,0,0,2,2,38,0,0,0,1,1,0,0,0,0,0,1,0,0,3,0,1,2,0,1,1,0,0
PDT,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POS,0,15,0,0,0,0,59,0,5,0,0,69,15,48,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0
PP,3,0,11,0,0,13,9,2,0,0,82,1,2,1,0,0,0,7,0,20,0,0,3,0,13,0,3,210,1,0,87,66,0,0,0,0
PP$,0,2,0,0,0,0,36,0,6,0,0,45,36,11,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0
RB,14,56,81,5,0,134,124,16,0,0,6,9,15,13,0,3,0,21,1,99,6,0,0,0,35,0,108,47,37,110,12,11,3,0,0,4
RBR,3,0,5,0,0,7,18,0,0,0,0,0,0,0,0,0,0,1,0,6,0,0,0,0,5,0,3,1,0,6,0,0,0,0,0,0
RBS,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
RP,4,3,23,1,0,34,3,1,0,0,0,3,0,2,0,0,0,4,3,4,0,0,0,1,6,0,0,0,1,2,0,1,0,0,0,0
SYM,0,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TO,0,56,76,0,0,1,29,5,0,0,0,26,23,29,0,0,0,1,2,17,1,0,0,0,0,0,451,0,11,0,0,0,0,3,0,1
UH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VB,14,7,202,2,0,111,87,13,1,0,0,49,50,17,0,1,1,46,25,45,8,0,29,0,36,0,6,2,8,85,0,0,2,2,0,2
VBD,15,94,310,16,0,144,60,5,2,0,1,32,37,73,0,0,0,58,12,85,2,1,10,0,41,0,4,4,20,101,0,1,0,1,0,0
VBG,9,10,84,2,0,68,36,4,2,0,0,61,52,16,0,0,0,21,7,32,4,0,13,0,32,0,0,3,4,19,1,1,1,0,0,1
VBN,27,9,77,0,0,242,43,7,1,0,0,37,25,13,0,0,0,24,6,51,3,0,26,0,95,0,0,5,15,48,0,0,1,1,0,2
VBP,3,2,41,4,0,21,32,4,0,0,0,14,14,6,0,2,0,12,4,75,3,0,4,0,22,0,0,0,37,132,0,0,0,0,0,0
VBZ,0,9,89,0,0,39,46,3,0,0,1,6,4,4,0,0,0,6,3,105,1,0,2,0,27,0,0,3,29,97,0,1,0,0,0,5
WDT,0,0,4,0,0,2,0,0,1,0,13,1,4,2,0,0,0,2,0,1,0,0,0,0,0,0,0,25,0,0,31,27,0,0,0,0
WP,0,0,2,0,0,1,0,0,0,0,3,5,2,0,0,0,0,5,0,0,0,0,0,0,0,0,0,5,0,0,3,4,0,0,0,0
WP$,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WRB,0,0,11,0,0,0,10,0,0,0,1,3,4,6,0,0,0,9,0,2,0,0,0,0,2,0,1,0,1,0,0,0,0,0,0,0
