TAG,CC,CD,DT,EX,FW,IN,JJ,JJR,JJS,LS,MD,NN,NNS,NP,NPS,PDT,POS,PP,PP$,RB,RBR,RBS,RP,SYM,TO,UH,VB,VBD,VBG,VBN,VBP,VBZ,WDT,WP,WP$,WRB
CC,0,22,80,10,0,25,67,2,1,0,13,71,32,130,0,0,0,44,14,20,1,0,0,0,0,0,41,35,14,5,8,27,0,1,0,6
CD,28,76,19,0,0,89,27,0,0,0,5,156,154,29,0,0,0,10,0,6,0,0,0,0,14,0,0,9,3,2,0,2,2,0,0,4
DT,2,60,2,0,0,19,623,20,18,0,6,1311,168,190,1,0,0,1,0,26,1,3,0,0,1,0,0,2,17,12,3,27,0,3,0,0
EX,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,10,0,0,9,14,0,0,0,0
FW,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IN,1,127,1036,1,0,45,213,18,21,0,0,321,114,941,3,1,0,129,111,39,4,0,0,0,3,0,1,3,48,13,0,3,8,9,0,6
JJ,36,33,21,1,0,107,111,5,6,0,3,899,300,138,3,0,0,30,2,14,0,0,0,0,62,0,0,14,5,2,1,4,1,0,0,1
JJR,3,1,2,0,0,42,4,0,0,0,0,31,22,2,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,0,0,0,0,0,0,0
JJS,2,9,0,0,0,8,5,0,0,0,0,48,10,3,0,0,0,1,0,0,0,0,0,0,2,0,1,1,1,0,3,2,0,0,0,0
LS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MD,2,0,2,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,74,1,0,0,0,0,0,306,1,0,0,0,0,0,0,0,0
NN,218,29,165,6,1,1270,60,5,3,0,84,558,292,315,0,1,74,160,2,86,14,0,3,0,191,0,14,218,67,41,25,225,56,11,1,16
NNS,100,10,64,3,0,425,29,2,0,0,67,29,26,75,0,0,7,60,1,42,3,0,0,0,92,0,5,201,33,24,147,13,30,9,0,6
NP,174,105,152,9,0,340,55,1,1,0,80,234,88,1149,80,0,255,85,12,59,3,0,0,0,69,0,3,364,46,5,27,179,39,20,4,6
NPS,2,0,2,0,0,9,0,0,0,0,2,1,0,61,1,0,0,2,0,0,0,0,0,0,3,0,0,3,0,0,1,1,1,0,0,0
PDT,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POS,3,2,0,0,0,0,65,0,40,0,0,97,48,70,1,0,0,0,0,2,0,5,0,0,0,0,0,0,2,1,0,0,0,0,0,0
PP,8,0,4,0,0,19,10,3,0,0,88,1,0,6,0,0,0,12,0,33,2,0,6,0,9,0,5,276,3,3,226,137,0,2,0,1
PP$,0,0,0,0,0,0,62,1,0,0,0,155,64,19,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
RB,25,25,55,0,0,129,135,9,2,0,3,10,23,35,0,1,0,22,4,85,4,0,0,0,28,0,151,42,56,97,20,27,0,0,0,4
RBR,0,0,7,0,0,9,13,0,0,0,0,2,2,1,0,0,0,0,0,7,0,1,0,0,0,0,3,5,0,1,0,0,0,0,0,0
RBS,0,0,0,0,0,2,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP,9,0,24,0,0,43,5,1,1,0,0,2,2,11,0,0,0,4,13,3,3,0,0,0,18,0,0,2,0,0,0,2,0,0,0,0
SYM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TO,0,30,80,0,0,1,15,5,0,0,0,28,16,76,0,0,0,8,4,10,0,0,0,0,1,0,558,0,4,0,0,0,0,3,0,0
UH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VB,13,22,271,0,0,149,81,8,1,0,0,63,38,75,0,0,0,46,56,69,3,0,53,0,40,0,3,4,23,68,0,0,0,10,0,3
VBD,13,28,171,4,0,153,85,5,1,0,0,80,27,218,0,0,0,127,28,126,7,0,25,0,51,0,0,6,26,71,0,0,0,3,0,1
VBG,6,25,92,0,0,61,23,8,0,0,0,44,33,23,0,0,0,14,27,25,0,0,17,0,69,0,1,0,0,13,0,0,0,2,0,0
VBN,17,13,70,0,0,180,20,2,0,0,4,26,23,31,0,0,0,28,13,34,1,0,31,0,83,0,0,8,21,41,1,1,2,1,0,2
VBP,0,2,48,6,0,39,32,9,0,0,0,14,12,3,0,0,0,27,9,102,1,0,3,0,39,0,2,3,63,85,0,2,0,2,0,0
VBZ,7,16,124,2,0,55,43,6,0,0,0,18,7,27,0,1,0,18,5,121,2,2,5,0,55,0,3,3,48,168,0,0,0,2,0,6
WDT,0,0,0,0,0,0,0,0,0,0,17,0,1,3,0,0,0,1,0,3,0,0,0,0,0,0,0,29,0,0,23,62,0,0,0,0
WP,0,0,9,0,0,0,2,1,0,0,6,4,0,0,0,0,0,12,2,1,0,0,0,0,2,0,0,14,0,0,9,16,0,0,0,0
