TAG,CC,CD,DT,EX,FW,IN,JJ,JJR,JJS,LS,MD,NN,NNS,NP,NPS,PDT,POS,PP,PP$,RB,RBR,RBS,RP,SYM,TO,UH,VB,VBD,VBG,VBN,VBP,VBZ,WDT,WP,WP$,WRB
CC,0,11,74,6,0,39,97,4,0,0,5,109,72,79,0,0,0,29,11,31,0,2,0,0,17,0,40,64,32,31,6,29,3,3,1,2
CD,20,47,23,4,0,94,61,0,0,0,5,172,171,39,1,0,2,6,1,9,0,1,0,0,17,0,0,15,7,3,0,7,6,1,0,4
DT,1,58,3,0,0,20,759,13,26,0,7,1393,163,342,2,0,0,3,0,32,8,12,0,0,0,0,0,13,31,36,1,20,3,2,0,0
EX,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,10,18,0,0,0,0
FW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IN,2,252,1326,2,0,47,386,17,7,0,1,481,204,665,3,2,0,107,138,47,0,0,0,0,11,0,0,0,175,9,0,0,11,15,1,5
JJ,45,46,20,1,0,124,250,5,3,0,1,1158,610,127,5,0,0,15,0,19,0,0,0,0,73,0,1,17,12,3,1,2,0,2,0,3
JJR,2,1,0,0,0,28,9,0,0,0,0,27,21,1,0,0,0,0,0,1,0,0,1,0,2,0,0,1,0,0,1,0,0,0,0,0
JJS,1,2,0,0,0,6,5,0,0,0,0,26,13,0,0,0,0,0,0,7,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
LS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,58,2,0,0,0,0,0,232,0,0,0,0,0,0,0,0,0
NN,285,36,220,5,0,1592,99,7,1,0,74,537,379,219,0,1,60,127,13,119,4,0,2,1,247,0,11,339,74,85,23,118,85,33,0,21
NNS,208,7,88,5,0,632,63,1,2,0,47,48,45,73,0,0,3,50,3,78,3,0,3,0,138,1,2,212,74,53,148,21,32,21,1,9
NP,122,59,106,4,0,281,61,1,1,0,44,213,46,883,61,0,256,36,9,41,3,0,2,0,53,0,4,350,22,10,17,119,24,25,2,11
NPS,12,0,2,0,0,22,1,0,0,0,0,0,2,19,0,0,0,1,0,0,0,0,0,0,1,0,0,4,2,4,1,1,2,0,0,0
PDT,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POS,0,8,0,0,0,0,78,1,16,0,0,112,25,51,0,0,0,1,0,1,0,12,0,0,0,0,0,0,6,10,0,0,0,0,0,0
PP,5,0,9,0,0,18,4,2,0,0,73,0,3,3,0,0,0,1,0,23,1,0,5,0,3,0,5,281,0,0,122,78,0,2,0,0
PP$,0,2,0,0,0,0,63,2,3,0,0,168,42,8,0,0,0,0,0,3,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
RB,10,35,61,0,0,161,133,10,0,0,3,7,18,16,1,3,0,21,2,89,5,0,0,0,28,0,125,41,27,139,24,25,0,1,0,0
RBR,0,0,1,0,0,9,11,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,5,1,2,0,0,0,0,0,0,0
RBS,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
RP,3,2,29,0,0,52,7,0,1,0,0,8,7,6,0,0,0,2,11,6,0,0,0,0,6,0,0,2,0,0,0,0,0,0,0,0
SYM,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TO,0,37,118,0,0,1,38,3,1,0,0,24,16,46,0,0,0,4,10,11,2,0,0,0,0,0,619,0,7,0,0,0,2,0,0,1
UH,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
VB,10,11,267,0,0,93,94,12,1,0,0,114,56,40,0,0,0,33,48,44,6,0,37,0,45,0,0,1,10,115,0,0,0,2,0,9
VBD,25,65,281,11,0,175,119,5,1,0,0,40,37,132,0,0,0,98,9,122,1,0,15,0,76,0,1,6,63,167,0,0,0,0,0,5
VBG,8,10,93,0,0,109,46,5,0,0,0,83,64,41,0,0,0,5,18,17,0,0,22,0,64,0,0,0,5,18,0,0,0,1,0,0
VBN,36,11,79,1,0,335,58,6,0,0,2,55,37,35,0,1,0,24,11,35,0,0,43,0,101,1,0,3,18,57,1,0,0,2,0,4
VBP,1,3,36,0,0,30,19,0,0,0,0,16,16,9,0,0,0,16,3,82,1,1,3,0,28,0,2,3,24,89,1,2,0,1,0,0
VBZ,1,11,90,0,0,42,41,1,0,0,0,22,10,13,1,0,0,12,1,93,0,1,9,0,23,0,1,1,17,121,0,1,0,1,0,0
WDT,0,0,1,0,0,3,5,0,0,0,23,0,2,6,0,0,0,3,0,2,0,0,0,0,2,0,0,56,0,0,11,54,0,0,0,0
WP,0,0,5,0,0,1,0,0,0,0,4,0,2,3,0,0,0,16,0,7,0,0,0,0,0,0,0,38,0,0,18,18,0,0,0,0
WP$,0,0,0,0,0,0,1,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WRB,0,1,8,0,0,0,7,0,0,0,2,2,9,9,0,0,0,20,5,2,0,0,0,0,5,0,0,0,0,5,0,0,0,0,0,0
