TAG,CC,CD,DT,EX,FW,IN,JJ,JJR,JJS,LS,MD,NN,NNS,NP,NPS,PDT,POS,PP,PP$,RB,RBR,RBS,RP,SYM,TO,UH,VB,VBD,VBG,VBN,VBP,VBZ,WDT,WP,WP$,WRB
CC,0,21,68,7,0,29,52,4,0,0,9,89,44,121,2,0,0,38,5,41,3,0,0,0,3,0,20,53,20,6,4,11,1,2,0,1
CD,16,144,19,1,0,90,38,0,0,0,3,443,337,31,0,0,0,5,0,9,0,1,0,0,10,0,0,8,10,6,1,7,5,0,0,1
DT,1,92,2,0,0,22,454,21,32,0,9,1223,139,163,11,0,0,1,0,18,4,3,0,0,2,0,0,8,16,23,3,22,1,0,0,0
EX,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,7,19,0,0,0,0
FW,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IN,8,320,955,12,0,48,186,17,2,0,0,373,200,649,1,10,0,136,113,58,2,0,0,0,7,0,0,3,101,9,0,3,17,12,0,3
JJ,35,48,9,0,0,98,117,2,2,0,1,768,260,80,0,0,0,17,0,11,0,0,0,0,61,0,0,5,6,6,0,1,0,0,0,0
JJR,2,2,0,0,0,28,3,0,0,0,0,29,30,5,0,0,0,0,0,0,0,0,0,0,5,0,0,4,1,0,0,0,0,0,0,0
JJS,1,3,0,0,0,5,7,0,0,0,0,24,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MD,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,57,0,0,0,0,0,0,405,2,2,0,0,0,0,0,0,0
NN,257,73,132,2,1,1202,78,6,0,0,122,661,406,336,0,0,39,111,5,92,14,0,0,0,211,0,5,297,57,64,11,137,77,38,6,17
