TAG,CC,CD,DT,EX,FW,IN,JJ,JJR,JJS,LS,MD,NN,NNS,NP,NPS,PDT,POS,PP,PP$,RB,RBR,RBS,RP,SYM,TO,UH,VB,VBD,VBG,VBN,VBP,VBZ,WDT,WP,WP$,WRB
CC,0,30,84,3,0,49,62,5,1,0,18,64,42,62,3,0,0,36,12,31,6,0,0,0,6,0,23,35,7,6,7,26,2,0,0,0
CD,51,208,24,1,0,74,22,1,1,0,3,211,211,38,0,0,0,9,0,7,0,0,0,0,10,0,0,9,17,4,1,5,4,2,0,6
DT,1,60,4,3,0,22,488,30,24,0,23,1160,181,208,2,0,0,2,0,33,8,10,2,0,1,0,0,14,16,16,10,17,0,2,0,0
EX,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,12,0,0,4,13,0,0,0,0
FW,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IN,2,260,1017,7,0,66,218,15,7,0,1,318,164,467,3,8,0,112,151,65,0,0,0,0,4,0,1,0,76,12,0,0,15,6,0,6
JJ,44,54,18,1,0,103,119,3,4,0,0,754,303,64,0,0,0,11,0,8,1,0,0,0,64,0,1,2,10,7,5,2,2,1,0,2
JJR,0,5,0,0,0,39,9,0,0,0,0,40,8,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,3,0,2,0,0,0,0,0
JJS,0,1,0,0,0,4,9,0,0,0,0,30,6,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MD,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,75,0,0,0,0,0,0,361,0,0,0,0,0,0,0,0,0
NN,218,57,150,8,0,1230,55,2,1,0,113,599,269,253,0,0,57,99,2,93,11,0,4,0,159,0,3,192,74,33,7,134,57,10,0,13
NNS,128,5,73,0,0,404,29,0,1,0,76,95,32,95,0,0,8,42,2,52,3,1,0,0,74,0,6,131,49,43,127,20,37,11,1,2
NP,95,57,71,1,1,147,35,1,0,0,55,162,69,740,23,0,127,26,2,47,5,0,0,0,21,0,0,290,9,9,11,106,34,20,0,6
NPS,6,0,3,0,0,4,0,0,0,0,0,6,1,6,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,1,0,1,1,0,0,0
PDT,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POS,1,1,0,0,0,0,35,0,12,0,0,82,35,23,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PP,2,0,11,0,0,16,6,1,0,0,114,4,1,4,0,0,0,4,0,20,0,0,6,0,24,0,2,179,0,1,90,89,0,0,0,0
PP$,0,8,0,0,0,0,78,2,1,0,0,145,68,11,0,0,0,0,0,3,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0
RB,11,59,41,0,0,141,113,13,0,0,0,9,5,14,0,0,0,18,1,59,5,2,0,0,29,0,103,38,57,95,11,20,0,0,0,2
RBR,4,0,16,0,0,9,17,0,0,0,1,2,0,2,0,0,0,1,0,2,0,0,0,0,5,0,2,4,1,1,0,0,0,0,0,0
RBS,0,0,1,0,0,1,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP,6,4,25,0,0,30,8,0,0,0,0,2,3,5,0,0,0,2,1,2,0,0,0,0,8,0,0,0,0,0,0,0,2,0,0,0
SYM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TO,0,45,79,0,0,3,16,1,0,0,0,35,21,25,0,0,0,3,19,11,2,0,0,0,0,0,472,0,4,1,0,0,3,0,0,1
UH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VB,22,8,204,1,0,150,69,20,0,0,0,51,30,23,0,1,0,48,50,48,7,0,30,0,57,0,2,3,19,120,0,3,0,9,0,3
VBD,5,25,197,8,0,114,48,4,0,0,1,25,29,78,0,2,0,66,33,88,4,0,13,0,66,1,1,0,23,128,0,1,0,0,0,0
VBG,4,8,85,1,0,60,19,2,0,0,1,49,43,9,0,2,0,14,24,20,7,0,18,0,49,0,0,3,5,21,0,0,1,1,0,0
VBN,20,7,68,1,0,264,33,5,0,0,2,31,7,10,0,0,0,23,10,35,5,0,16,0,118,0,0,3,19,34,0,0,0,2,0,3
