TAG,CC,CD,DT,EX,FW,IN,JJ,JJR,JJS,LS,MD,NN,NNS,NP,NPS,PDT,POS,PP,PP$,RB,RBR,RBS,RP,SYM,TO,UH,VB,VBD,VBG,VBN,VBP,VBZ,WDT,WP,WP$,WRB
CC,1,41,111,2,0,39,61,10,1,0,4,63,45,84,1,0,0,47,23,50,7,0,0,0,4,0,27,41,12,10,1,14,2,2,0,1
CD,33,99,31,0,0,62,46,5,1,0,5,233,139,42,0,0,1,7,1,9,0,0,0,1,48,0,0,10,4,10,1,3,2,1,0,3
DT,1,62,8,0,0,11,785,46,21,0,1,1224,165,303,8,0,0,4,0,30,3,8,0,0,0,0,0,4,28,23,1,10,0,11,0,0
EX,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,7,0,0,1,7,0,0,0,0
FW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IN,6,217,1297,8,0,52,274,17,9,0,0,316,164,569,1,4,0,75,148,44,2,0,0,0,5,0,2,0,86,7,1,0,14,4,0,1
JJ,52,50,4,0,0,109,192,16,1,0,4,1078,360,133,8,0,3,12,2,13,0,0,0,0,55,3,0,8,5,1,2,1,1,2,0,4
JJR,3,0,3,0,0,25,15,0,0,0,0,82,23,2,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
JJS,0,2,2,0,0,5,7,0,0,0,0,16,10,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,1,1,0,0,0,0
LS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MD,0,0,0,0,0,6,0,0,0,0,0,0,0,1,0,0,0,0,0,61,0,0,0,0,0,0,296,0,0,0,0,0,0,0,0,0
NN,241,50,205,5,0,1377,94,9,0,0,132,550,221,235,0,2,85,109,12,96,10,0,3,1,175,0,10,297,54,64,11,159,67,12,1,21
NNS,155,2,70,1,0,475,51,1,0,0,45,45,25,44,0,0,13,31,1,57,6,1,1,1,58,0,3,118,55,29,79,13,34,17,0,8
NP,154,54,113,3,0,245,39,2,1,0,30,177,57,991,54,0,190,55,3,30,8,0,0,0,36,0,4,309,25,14,15,85,16,19,2,7
NPS,6,1,4,0,0,13,0,0,0,0,0,0,1,13,0,0,1,1,0,2,0,0,0,0,0,0,0,15,0,2,9,0,0,4,2,0
PDT,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POS,1,8,2,0,0,1,65,1,5,0,0,142,27,39,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
PP,0,0,6,0,0,17,10,2,0,0,95,0,1,6,1,0,0,5,4,20,1,0,2,0,8,0,2,208,0,0,83,70,0,0,0,1
PP$,0,7,0,0,0,0,79,4,2,0,0,166,36,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0
RB,10,55,65,0,0,136,88,4,0,0,7,6,4,15,1,0,0,22,6,46,3,0,0,0,22,0,123,47,35,88,16,16,0,1,0,1
RBR,1,0,18,0,0,21,18,0,0,0,0,0,0,1,0,0,0,2,0,4,0,0,0,0,2,0,1,3,0,6,0,0,0,0,0,0
RBS,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
RP,2,0,24,0,0,24,6,0,0,0,0,3,6,2,0,0,0,0,0,4,0,0,0,0,5,0,0,2,2,0,0,0,0,0,0,0
SYM,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
TO,0,63,106,0,0,6,31,2,0,0,0,22,11,36,0,0,0,2,10,10,2,0,0,0,1,0,341,0,9,0,0,1,2,0,0,0
UH,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
VB,7,9,219,0,0,122,62,17,0,0,0,41,34,28,0,0,0,21,29,55,9,0,26,0,56,0,10,3,10,64,0,0,0,6,1,0
VBD,14,51,199,4,0,184,78,6,3,0,1,45,45,104,0,0,0,56,36,108,9,1,12,0,36,2,5,3,28,107,1,3,0,1,0,7
VBG,5,6,97,0,0,85,24,6,0,0,0,46,25,19,0,0,0,22,9,11,3,0,12,0,31,0,0,2,3,4,0,0,0,0,0,3
VBN,10,7,39,0,0,234,31,2,1,0,2,30,22,31,0,0,0,17,8,32,8,0,19,0,67,0,0,4,15,21,0,0,0,1,0,1
VBP,1,1,26,0,0,29,14,1,0,0,0,7,8,11,0,0,0,16,4,45,2,0,1,0,13,0,1,1,22,47,0,3,0,0,0,0
VBZ,1,9,68,0,0,40,32,3,0,0,0,8,4,8,0,1,0,9,6,76,4,0,4,0,27,2,2,0,17,94,2,1,0,1,0,4
WDT,0,0,8,0,0,1,1,0,0,0,21,2,0,6,0,0,0,13,0,6,0,0,0,0,0,0,0,32,0,0,17,31,0,0,0,0
WP,0,0,4,0,0,3,0,0,0,0,10,0,1,0,0,0,0,3,2,5,0,0,0,0,2,0,0,35,0,0,12,5,0,0,0,0
WP$,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WRB,0,1,21,0,0,0,8,2,2,0,0,0,3,7,0,0,0,12,2,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
