TAG,CC,CD,DT,EX,FW,IN,JJ,JJR,JJS,LS,MD,NN,NNS,NP,NPS,PDT,POS,PP,PP$,RB,RBR,RBS,RP,SYM,TO,UH,VB,VBD,VBG,VBN,VBP,VBZ,WDT,WP,WP$,WRB
CC,1,21,65,4,0,36,64,4,1,0,10,82,53,90,0,0,0,37,2,31,1,1,0,0,8,0,19,33,10,5,2,5,1,0,0,1
CD,30,183,18,0,0,100,34,2,0,0,9,272,209,38,0,0,2,6,0,6,0,0,0,0,19,0,0,9,5,3,4,4,2,0,0,2
DT,0,69,3,0,2,10,476,14,16,0,4,1012,123,142,0,0,0,0,0,39,1,8,1,0,0,0,0,7,13,10,4,14,0,8,0,1
EX,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,8,7,0,0,0,0
FW,1,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IN,6,226,988,3,1,66,287,22,11,0,0,325,209,534,1,6,0,71,131,71,0,0,0,0,9,0,1,1,102,12,0,0,6,4,0,7
JJ,32,69,10,0,0,108,126,0,2,0,1,808,326,87,1,0,0,14,0,9,0,0,0,0,56,0,0,7,13,3,0,2,4,0,0,1
JJR,3,3,1,0,0,42,1,0,0,0,0,23,13,5,0,0,0,1,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
JJS,4,3,1,0,0,12,5,0,0,0,0,14,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
LS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MD,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,0,0,2,0,236,0,0,0,0,0,0,0,0,0
NN,219,53,79,5,0,1239,68,4,0,0,75,522,279,289,1,0,58,72,2,79,9,0,5,0,179,0,1,189,58,68,14,116,51,5,2,19
NNS,115,8,70,3,0,544,48,4,0,0,38,66,25,82,0,0,17,38,1,49,2,0,1,0,72,0,4,135,64,48,77,9,36,19,0,2
NP,124,42,44,2,0,167,51,0,0,0,60,209,82,783,44,0,154,38,3,29,3,0,0,0,14,0,2,348,24,3,20,74,68,8,7,8
NPS,2,0,1,0,0,6,0,0,0,0,0,7,0,20,0,0,1,3,0,0,0,0,0,0,0,0,0,5,0,0,1,1,0,0,0,0
PDT,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POS,0,9,0,0,0,0,40,0,10,0,0,100,28,37,0,0,0,0,0,3,0,1,0,0,0,0,0,0,3,0,1,0,0,0,0,0
PP,4,0,4,0,0,12,1,0,0,0,52,3,1,6,0,0,0,6,0,9,3,0,0,0,8,0,2,180,3,0,91,67,0,0,0,0
PP$,0,8,0,0,0,0,66,0,3,0,0,97,36,17,0,0,0,0,0,4,0,1,0,0,0,0,0,0,2,2,0,0,0,0,0,0
RB,11,82,41,1,0,136,100,13,2,0,4,10,9,22,0,0,0,16,0,48,9,0,0,0,36,0,67,38,36,73,7,22,0,0,0,3
RBR,1,0,9,0,0,4,18,0,0,0,0,1,1,1,0,0,0,0,0,4,0,0,0,0,0,0,0,3,0,4,0,0,1,0,0,0
RBS,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP,1,2,11,0,0,28,3,0,0,0,0,3,7,1,0,0,0,2,5,5,1,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0
SYM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TO,0,81,40,0,0,4,15,6,0,0,0,38,11,43,0,0,0,2,6,21,0,0,0,0,0,0,356,0,3,0,0,0,0,1,0,0
UH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VB,12,23,145,0,0,95,71,4,0,0,3,38,30,34,0,0,0,16,38,40,6,1,25,0,43,0,5,0,17,49,0,1,0,0,0,3
VBD,5,43,194,12,0,122,69,8,1,0,2,38,39,117,0,0,0,56,19,81,5,0,15,0,57,0,2,3,41,108,1,0,0,0,0,1
VBG,4,11,99,0,0,77,28,3,0,0,0,51,32,21,0,0,0,19,18,29,3,0,10,0,28,0,0,1,4,14,0,0,2,0,0,0
VBN,6,6,47,0,0,240,16,3,0,0,1,22,21,16,0,0,0,6,4,39,0,0,21,0,50,0,0,5,5,24,0,0,0,0,0,0
VBP,3,4,17,3,0,21,23,2,0,0,2,2,12,6,0,0,0,16,3,53,0,0,4,0,13,0,2,3,25,50,0,0,0,0,0,0
VBZ,3,9,71,0,0,29,42,6,0,0,1,12,14,8,0,0,0,3,1,79,4,1,0,0,18,1,1,1,25,56,0,1,0,0,0,4
