TAG,CC,CD,DT,EX,FW,IN,JJ,JJR,JJS,LS,MD,NN,NNS,NP,NPS,PDT,POS,PP,PP$,RB,RBR,RBS,RP,SYM,TO,UH,VB,VBD,VBG,VBN,VBP,VBZ,WDT,WP,WP$,WRB
CC,0,17,80,2,0,39,78,6,2,0,8,51,38,51,1,0,0,24,20,20,0,0,1,0,2,0,25,49,21,20,4,14,5,1,0,2
CD,13,25,26,0,0,53,37,3,1,0,3,116,165,10,2,0,0,7,1,5,0,0,0,0,6,0,0,11,7,7,3,1,0,1,0,1
DT,0,41,4,0,1,13,620,11,16,0,7,1111,182,210,0,0,0,8,0,14,3,8,0,0,0,0,2,4,19,22,12,12,1,2,0,0
EX,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,5,10,0,0,0,0
FW,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IN,1,144,1036,4,0,33,253,19,19,0,0,302,149,475,5,10,0,63,97,27,0,0,0,0,6,0,1,0,85,9,0,0,10,5,0,1
JJ,37,33,11,2,0,72,109,2,6,0,0,874,381,130,1,0,1,7,1,3,0,0,0,0,46,0,0,3,10,1,0,0,0,2,0,2
JJR,1,0,0,0,0,32,8,1,0,0,0,21,18,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JJS,2,13,1,0,0,5,4,0,0,0,0,30,4,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MD,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,0,0,0,0,0,233,0,0,0,0,0,0,0,0,0
NN,252,32,149,3,0,1049,52,8,0,0,71,478,311,185,0,2,79,93,10,75,5,0,3,0,171,0,3,236,58,95,14,105,71,14,2,15
NNS,142,15,85,0,0,482,39,3,0,0,45,28,41,59,0,1,21,39,6,49,4,0,4,0,82,0,3,143,34,60,110,18,15,23,0,7
NP,75,56,93,6,0,156,52,2,0,0,37,192,55,669,50,2,160,29,5,18,4,1,0,0,24,0,0,256,23,11,7,60,13,12,2,10
NPS,4,0,5,0,0,16,1,0,0,0,1,2,0,14,0,0,2,2,0,1,0,0,0,0,1,0,0,5,0,1,1,3,1,0,0,0
PDT,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POS,1,7,0,0,0,0,67,0,13,0,0,98,23,40,0,0,0,0,0,0,0,1,0,0,0,0,0,0,12,1,0,0,0,0,0,0
PP,4,1,9,0,0,17,6,0,0,0,79,1,2,3,0,0,0,3,0,13,1,0,3,0,6,0,4,167,2,0,64,62,0,0,0,0
PP$,0,5,0,0,0,0,51,0,3,0,0,106,45,11,0,0,0,1,0,4,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0
