TAG,TAG,TAG,TAG,TAG,TAG,TAG,TAG,TAG,TAG,TAG,TAG,TAG,TAG,TAG,TAG,TAG,TAG,TAG,TAG,TAG,TAG,CC,CD,DT,EX,FW,IN,JJ,JJR,JJS,LS,MD,NN,NNS,NP,NPS,PDT,POS,PP,PP$,RB,RBR,RBS,RP,SYM,TO,UH,VB,VBD,VBG,VBN,VBP,VBZ,WDT,WP,WP$,WRB
CC,0,18,95,3,0,28,84,6,0,0,9,94,43,145,0,1,0,26,10,20,2,0,0,0,1,0,22,28,21,10,6,23,3,0,0,1
CD,25,210,29,0,0,76,50,0,2,0,7,226,296,34,0,0,1,6,0,15,0,0,0,1,11,0,0,12,4,2,2,10,6,2,0,6
DT,0,116,1,0,0,17,614,14,24,0,7,1093,133,306,2,1,0,3,0,21,2,7,0,0,2,1,0,7,36,3,3,15,0,0,0,0
EX,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,8,7,0,0,0,0
FW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IN,3,245,1032,5,0,46,290,30,2,0,0,325,169,577,0,2,0,96,97,56,1,0,0,0,3,0,1,1,63,13,0,2,22,7,0,1
JJ,35,58,26,0,0,134,163,2,13,0,3,980,345,98,0,0,1,9,0,9,0,0,0,0,72,0,0,7,5,1,0,0,0,0,0,0
JJR,1,2,0,0,0,47,7,0,0,0,0,32,15,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0
JJS,0,1,0,0,0,2,8,0,0,0,0,24,15,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0
LS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MD,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,46,0,0,0,0,0,0,307,0,0,0,0,0,0,0,0,0
NN,240,65,161,5,0,1189,71,7,0,0,112,670,293,354,0,0,52,91,12,55,10,0,0,0,211,0,2,247,59,44,16,180,57,7,2,15
