TAG,TAG,TAG,TAG,TAG,TAG,TAG,TAG,TAG,TAG,TAG,TAG,TAG,TAG,TAG,TAG,TAG,TAG,TAG,TAG,TAG,TAG,TAG,CC,CD,DT,EX,FW,IN,JJ,JJR,JJS,LS,MD,NN,NNS,NP,NPS,PDT,POS,PP,PP$,RB,RBR,RBS,RP,SYM,TO,UH,VB,VBD,VBG,VBN,VBP,VBZ,WDT,WP,WP$,WRB
CC,0,26,56,1,0,28,64,12,6,0,7,97,56,123,1,0,0,41,4,39,1,0,0,0,4,0,23,12,13,5,4,22,0,4,0,1
CD,44,9,36,2,0,115,37,9,3,0,1,148,143,59,0,0,1,8,0,12,0,0,0,0,58,0,0,13,8,10,2,3,3,0,0,4
DT,4,40,4,0,0,23,445,16,18,0,5,932,153,173,1,0,0,3,0,23,2,4,2,0,0,0,1,1,15,15,2,30,0,0,0,0
EX,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,4,26,0,0,0,0
FW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IN,3,190,817,4,0,40,270,24,11,0,1,307,182,450,0,4,0,100,88,50,1,0,0,0,2,0,1,0,65,9,0,1,14,3,0,5
JJ,39,111,9,1,0,109,131,0,1,0,3,699,386,115,0,0,0,12,1,5,0,0,0,0,49,0,1,10,9,3,0,6,0,0,0,0
JJR,3,1,2,0,0,43,5,0,0,0,0,32,32,8,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0
JJS,2,1,3,0,0,10,4,0,0,0,0,21,14,4,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
LS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
