TAG,CC,CD,DT,EX,FW,IN,JJ,JJR,JJS,LS,MD,NN,NNS,NP,NPS,PDT,POS,PP,PP$,RB,RBR,RBS,RP,SYM,TO,UH,VB,VBD,VBG,VBN,VBP,VBZ,WDT,WP,WP$,WRB
CC,0,27,90,5,0,38,28,3,3,0,7,129,37,144,0,0,0,61,11,25,0,0,4,0,7,0,18,22,13,5,4,18,6,2,0,4
CD,33,82,46,6,0,161,60,1,0,0,2,282,186,78,1,0,0,17,0,22,3,0,1,0,19,0,0,11,11,9,1,1,3,0,0,3
DT,0,112,2,0,0,20,640,38,26,0,7,1124,148,216,5,0,0,1,0,21,6,6,0,0,1,0,0,5,25,24,6,16,3,0,0,0
EX,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,15,37,0,0,0,0
FW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IN,5,174,1109,13,0,64,218,15,12,0,5,284,175,770,5,3,0,128,126,40,0,0,0,0,2,0,2,4,78,16,0,0,10,10,0,3
JJ,24,57,12,0,0,95,130,1,7,0,0,973,290,87,1,0,0,8,1,13,0,0,0,0,88,0,0,2,6,6,0,0,0,1,0,0
JJR,1,0,1,0,0,48,17,0,0,0,0,48,26,5,0,0,0,2,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0
JJS,0,0,2,0,0,14,6,0,0,0,0,52,5,3,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
LS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MD,0,0,0,0,0,1,2,0,0,0,0,2,0,1,0,0,0,1,0,63,2,0,0,0,0,0,248,0,0,0,0,0,0,0,0,0
NN,254,53,123,10,0,1285,82,21,0,0,66,759,389,347,0,0,60,125,2,98,15,1,2,4,179,0,3,228,48,50,12,167,61,2,0,11
NNS,136,6,67,9,0,469,32,7,0,0,34,93,49,98,0,1,6,58,3,62,6,0,3,0,79,0,4,186,36,39,116,15,39,5,0,7
NP,192,318,85,5,0,206,40,2,1,0,40,239,88,1179,91,0,192,54,5,40,4,2,0,8,35,0,1,440,25,9,11,131,47,14,1,9
NPS,4,0,1,0,0,12,0,1,0,0,1,7,4,55,1,0,1,4,0,1,0,0,0,0,1,0,0,8,0,0,0,2,0,0,0,1
PDT,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POS,0,12,0,0,0,0,77,0,27,0,0,81,22,27,0,0,0,1,0,0,0,0,0,0,0,0,0,2,7,0,3,0,0,0,0,0
PP,4,1,11,0,0,16,5,4,0,0,122,2,0,15,0,0,0,2,0,22,3,0,4,0,8,0,2,177,3,1,211,105,2,1,0,0
PP$,0,19,1,0,0,1,88,0,2,0,0,127,37,7,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0
RB,16,53,41,6,0,142,88,5,1,0,3,11,16,24,0,0,0,35,5,68,5,0,0,0,30,0,97,30,45,70,16,32,1,3,0,4
RBR,1,1,10,1,0,6,11,0,0,0,0,1,2,4,0,0,0,1,0,5,1,0,0,0,2,0,4,4,0,2,0,0,0,0,0,0
RBS,0,0,0,0,0,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
