TAG,CC,CD,DT,EX,FW,IN,JJ,JJR,JJS,LS,MD,NN,NNS,NP,NPS,PDT,POS,PP,PP$,RB,RBR,RBS,RP,SYM,TO,UH,VB,VBD,VBG,VBN,VBP,VBZ,WDT,WP,WP$,WRB
CC,0,29,85,3,0,39,90,6,0,0,3,76,53,209,0,0,0,41,14,31,1,1,0,0,4,1,33,18,20,5,4,25,2,2,2,3
CD,37,176,32,1,0,89,62,3,0,0,8,328,263,41,0,0,0,4,1,9,0,1,0,0,19,0,0,3,3,10,7,8,2,1,0,4
DT,0,80,1,0,0,22,604,25,29,0,5,1001,129,193,4,0,0,2,0,30,5,20,1,0,1,0,2,5,20,21,2,18,0,0,0,0
EX,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,9,7,0,0,0,0
FW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IN,4,241,975,8,0,61,250,23,8,0,0,323,146,624,0,6,0,105,125,73,1,1,0,0,6,0,1,3,95,4,0,1,18,12,0,4
JJ,52,101,21,3,0,135,205,2,28,0,0,932,446,119,1,0,2,19,0,15,1,0,0,0,69,0,2,1,13,4,1,2,0,0,0,2
JJR,4,3,1,0,0,56,10,1,0,0,0,32,16,8,0,0,0,0,0,0,0,0,0,0,4,0,0,2,0,0,0,0,0,0,0,0
JJS,0,5,0,0,0,9,32,0,0,0,0,31,34,2,0,0,0,6,0,4,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
LS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MD,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,0,0,0,0,328,0,0,0,0,0,0,0,0,0
NN,243,92,131,3,0,1167,83,20,1,0,93,648,352,313,0,0,83,93,6,96,5,0,3,0,190,1,7,194,61,40,17,165,77,11,2,14
NNS,150,7,67,1,0,561,76,6,3,0,54,187,71,117,2,0,9,40,1,69,3,0,1,0,94,0,6,134,43,27,141,29,34,7,1,4
NP,241,66,86,1,0,179,68,1,1,0,63,190,114,886,66,0,255,31,5,57,0,1,0,0,44,0,2,240,22,8,22,175,70,13,10,4
NPS,6,0,10,0,0,5,0,0,0,0,3,8,1,20,0,0,1,3,0,2,0,0,0,0,1,0,0,4,0,1,2,4,1,1,0,1
PDT,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POS,2,14,0,0,0,0,104,0,44,0,0,80,34,60,1,0,0,0,0,2,0,6,0,0,0,0,0,0,2,2,0,1,0,0,0,0
PP,5,1,7,0,0,17,9,5,0,0,97,2,1,3,0,0,2,5,0,19,2,0,3,0,8,0,1,167,3,0,119,90,0,0,0,0
PP$,0,7,1,0,0,0,72,1,4,0,0,94,62,14,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,4,0,1,0,0,0,0
RB,10,87,42,0,0,125,111,15,2,0,1,10,5,17,0,0,0,19,1,82,9,0,0,0,29,0,70,48,45,76,16,53,0,1,0,1
RBR,0,0,10,0,0,5,22,0,0,0,0,0,1,1,0,0,0,0,0,4,0,0,0,0,2,0,0,2,1,2,0,2,0,0,0,0
