TAG,CC,CD,DT,EX,FW,IN,JJ,JJR,JJS,LS,MD,NN,NNS,NP,NPS,PDT,POS,PP,PP$,RB,RBR,RBS,RP,SYM,TO,UH,VB,VBD,VBG,VBN,VBP,VBZ,WDT,WP,WP$,WRB
CC,0,15,21,0,0,4,39,3,0,0,5,51,42,33,0,0,0,8,6,15,0,0,0,0,2,0,13,18,15,2,2,1,2,0,0,1
CD,30,109,42,0,0,172,22,1,0,0,0,202,297,111,2,0,3,13,1,6,0,0,0,1,114,0,0,24,12,4,0,2,1,0,0,1
DT,3,56,0,0,0,11,337,14,17,0,2,465,66,152,0,0,0,2,0,17,3,5,0,0,1,0,0,3,9,4,0,14,0,0,0,0
EX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0
FW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IN,0,294,449,2,0,25,192,39,6,0,0,158,103,491,0,5,0,42,53,42,3,0,0,0,3,0,1,0,58,5,0,0,3,5,0,2
JJ,12,62,18,0,0,87,88,3,19,0,0,625,233,97,0,0,0,7,0,7,0,2,0,0,16,0,0,5,5,0,2,0,0,0,0,0
JJR,2,1,1,0,0,66,5,0,0,0,0,40,15,4,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,1,0,0,0,0,0,0
JJS,1,2,3,0,0,12,5,0,0,0,0,53,8,0,0,0,0,0,0,6,0,0,0,0,0,0,0,10,2,0,0,0,0,0,0,0
LS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,113,0,0,0,0,0,0,0,0,0
NN,86,52,90,1,0,623,40,8,2,0,33,377,297,235,0,0,54,33,1,48,7,1,2,2,72,0,7,233,37,31,6,73,30,3,0,5
NNS,100,42,75,1,0,251,73,4,5,0,27,73,95,93,0,0,3,27,1,39,14,1,0,6,72,0,10,272,53,31,77,6,21,4,0,3
NP,40,135,85,2,0,193,47,3,1,0,22,154,72,911,72,0,256,15,3,18,0,1,0,3,87,0,0,369,21,15,4,25,21,9,0,2
NPS,0,0,0,0,0,0,1,0,0,0,0,12,0,56,0,0,1,0,0,0,0,0,0,0,0,0,0,4,0,0,2,0,0,0,0,0
PDT,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POS,0,41,0,0,0,2,110,0,39,0,1,79,13,14,0,0,0,0,0,3,0,7,0,0,0,0,0,0,7,0,0,1,0,0,0,0
PP,4,0,3,1,0,5,0,0,0,0,35,0,0,0,0,0,0,1,0,13,0,0,0,0,2,0,0,75,0,0,73,37,0,0,0,0
PP$,0,2,0,0,0,0,51,0,9,0,0,39,29,8,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RB,7,56,22,0,0,74,60,6,0,0,3,6,3,14,0,0,0,16,0,42,1,0,0,0,3,0,36,26,32,49,12,15,2,1,0,1
RBR,0,0,8,0,0,3,12,0,0,0,0,0,0,1,0,0,0,3,0,1,0,0,0,0,1,0,1,1,6,2,0,0,0,0,0,0
RBS,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
RP,2,2,10,0,0,21,2,0,1,0,0,3,7,2,0,0,0,0,0,5,0,0,0,0,5,0,0,0,8,0,0,0,0,0,0,1
SYM,0,0,1,0,0,1,0,0,0,0,0,1,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TO,0,123,39,0,0,4,17,3,0,0,0,18,4,62,0,0,0,1,7,4,0,0,0,0,1,0,239,0,1,0,0,0,0,0,0,0
UH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VB,4,17,73,0,0,113,26,11,0,0,0,21,22,22,1,1,0,8,20,17,3,0,18,0,22,0,4,1,9,18,0,0,0,0,0,0
VBD,3,138,111,1,0,91,91,32,2,0,0,45,63,213,1,0,0,38,30,68,6,0,29,0,38,0,4,2,25,64,0,1,0,0,0,1
VBG,2,16,48,0,0,32,23,6,0,0,0,39,81,26,0,1,0,6,13,10,0,0,8,0,30,0,1,1,0,7,0,0,0,1,0,1
VBN,1,3,19,0,0,149,18,2,0,0,0,21,17,18,0,0,0,3,4,20,0,0,8,0,30,0,0,0,2,6,0,0,0,0,0,1
VBP,1,2,11,1,0,20,7,2,0,0,0,3,5,8,0,0,0,8,1,27,2,0,0,0,13,0,2,1,29,39,2,2,0,0,0,0
VBZ,0,2,40,0,0,22,8,2,0,0,0,2,2,2,0,2,0,3,0,44,0,0,4,0,9,0,0,2,21,43,0,0,0,0,0,0
WDT,0,0,0,0,0,0,0,0,1,0,8,0,2,2,0,0,0,4,0,5,0,0,0,0,0,0,0,38,0,0,4,16,0,0,0,0
