TAG,CC,CD,DT,EX,FW,IN,JJ,JJR,JJS,LS,MD,NN,NNS,NP,NPS,PDT,POS,PP,PP$,RB,RBR,RBS,RP,SYM,TO,UH,VB,VBD,VBG,VBN,VBP,VBZ,WDT,WP,WP$,WRB
CC,0,41,83,5,0,40,80,5,1,0,15,132,44,159,0,1,0,43,4,53,0,0,0,0,4,0,26,37,26,13,7,19,5,1,0,3
CD,50,180,22,1,0,51,30,0,1,0,5,175,351,53,0,0,5,13,0,9,0,0,0,0,45,0,0,29,11,2,0,7,6,0,0,5
DT,3,51,1,0,0,11,626,13,24,0,8,1292,151,291,3,0,0,4,0,18,3,6,0,0,0,0,0,9,15,12,0,29,0,0,0,0
EX,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,4,37,0,0,0,0
FW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IN,3,300,955,5,0,63,368,12,4,0,0,499,214,936,0,5,0,114,58,49,0,0,0,0,10,0,0,0,99,9,0,1,7,2,0,4
JJ,48,52,38,3,0,129,160,1,5,0,1,986,384,122,0,0,0,22,0,10,0,0,0,0,69,0,1,7,10,2,2,3,1,0,0,0
JJR,2,0,4,1,0,37,2,0,0,0,0,27,14,3,0,0,0,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
JJS,1,1,0,0,0,7,0,0,0,0,0,31,6,7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
LS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MD,1,0,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2,0,77,1,0,0,0,1,0,295,0,0,0,0,0,0,0,0,0
NN,288,51,235,7,0,1268,70,9,2,0,109,629,556,175,0,2,56,151,0,104,10,0,5,1,170,0,6,377,53,72,18,201,45,10,0,17
NNS,126,10,119,2,0,719,43,4,0,1,73,59,70,63,0,0,4,69,5,81,2,0,7,5,81,0,2,349,67,65,180,12,24,16,0,6
NP,195,96,142,5,0,304,49,0,0,0,36,366,184,1045,44,0,183,57,5,47,1,0,2,3,20,0,2,312,19,10,19,119,12,7,0,9
NPS,5,0,4,1,0,11,0,0,0,0,0,2,2,10,0,0,1,0,0,0,0,0,0,0,3,0,0,8,0,0,0,0,0,0,0,0
