TAG,TAG,TAG,TAG,TAG,TAG,TAG,TAG,TAG,TAG,TAG,TAG,TAG,TAG,TAG,TAG,TAG,TAG,TAG,TAG,TAG,TAG,TAG,TAG,TAG,TAG,TAG,TAG,TAG,CC,CD,DT,EX,FW,IN,JJ,JJR,JJS,LS,MD,NN,NNS,NP,NPS,PDT,POS,PP,PP$,RB,RBR,RBS,RP,SYM,TO,UH,VB,VBD,VBG,VBN,VBP,VBZ,WDT,WP,WP$,WRB
CC,0,26,89,3,0,48,102,6,4,0,13,129,52,145,2,0,1,71,7,53,5,1,0,0,13,0,38,39,21,11,12,35,4,3,0,5
CD,36,127,16,0,0,69,52,1,1,0,6,254,208,34,0,0,13,6,1,8,0,0,0,0,24,0,2,11,3,0,0,5,1,0,0,0
DT,4,60,3,0,0,16,614,15,22,0,10,1053,146,220,5,0,0,3,0,14,2,4,0,0,0,0,0,4,12,10,2,21,1,1,0,0
EX,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,14,20,0,0,0,0
FW,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IN,6,200,826,10,0,55,369,14,24,0,0,436,167,600,0,7,0,87,73,52,0,0,0,0,6,0,2,1,95,10,1,0,21,13,0,15
JJ,55,70,16,4,0,102,250,2,14,0,1,1097,556,85,2,0,0,17,0,14,1,0,0,0,79,0,0,12,6,3,0,3,1,1,0,1
JJR,2,1,4,0,0,35,3,2,0,0,0,56,13,4,0,0,0,0,0,1,0,0,0,0,4,0,0,1,1,0,1,0,0,0,0,0
JJS,2,8,7,0,0,27,13,0,0,0,0,42,8,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0
LS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MD,2,1,0,0,0,6,0,0,0,0,0,0,1,1,0,0,0,2,0,98,0,0,0,0,1,0,367,0,0,0,0,0,0,0,0,0
NN,345,49,138,8,0,1181,97,3,1,0,124,713,562,255,1,0,83,110,4,84,4,0,7,3,184,3,4,256,76,59,35,193,65,18,4,20
NNS,212,10,121,5,0,550,52,8,4,0,98,63,36,98,1,0,11,69,6,79,7,0,1,0,101,0,3,213,77,27,182,20,39,11,0,6
NP,177,59,101,3,1,204,66,5,2,0,71,249,80,902,45,0,288,31,0,21,1,0,0,0,29,0,1,247,27,10,12,132,28,10,6,11
NPS,8,0,1,0,0,14,0,0,0,0,0,1,1,16,0,0,2,1,0,0,0,0,0,0,1,0,0,5,0,0,5,0,1,1,0,0
PDT,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POS,1,18,0,0,0,0,100,1,31,0,0,142,26,64,0,0,0,0,0,4,0,6,0,0,0,0,0,0,4,2,0,0,0,0,0,0
PP,5,0,5,0,0,17,5,0,0,0,100,4,0,6,0,0,1,3,1,27,0,1,2,0,11,0,6,200,3,3,130,91,1,0,0,2
PP$,0,8,0,0,0,0,56,0,4,0,1,68,35,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0
RB,14,66,68,0,0,118,126,22,0,0,4,9,18,18,0,2,0,23,5,94,12,0,0,0,34,0,146,39,50,83,21,23,3,5,0,3
RBR,3,0,8,0,0,11,16,0,0,0,0,1,0,3,0,0,0,1,0,6,0,0,0,0,3,0,2,1,1,1,0,0,0,0,0,0
RBS,0,0,0,0,0,0,12,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP,6,0,25,0,0,36,4,0,0,0,0,3,4,4,0,0,0,2,4,4,0,0,0,0,14,0,0,2,2,0,0,0,0,1,0,1
SYM,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TO,2,47,73,0,0,2,47,1,1,0,0,34,13,43,1,0,0,3,5,5,0,0,0,0,0,0,507,0,10,0,0,0,2,0,0,0
UH,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
VB,14,28,235,3,0,122,114,18,2,0,0,110,53,38,0,1,0,42,28,57,9,0,49,0,49,0,7,5,11,74,0,4,1,10,0,9
VBD,17,47,210,5,0,105,94,10,1,0,0,56,32,154,0,0,0,54,8,92,4,0,13,0,51,1,2,9,62,84,0,1,0,1,0,1
VBG,5,17,76,0,0,95,46,5,0,0,1,69,48,34,0,0,0,21,13,14,4,0,10,0,80,0,1,0,1,7,0,0,0,2,0,0
VBN,17,12,39,2,0,179,34,4,0,0,1,40,19,34,0,0,0,19,9,41,3,0,23,0,46,0,1,9,12,17,1,2,0,1,0,0
VBP,2,6,49,2,0,40,49,3,1,0,0,15,10,10,0,0,0,17,6,96,2,0,4,0,28,0,2,2,30,68,1,0,0,2,0,2
VBZ,2,13,105,1,0,52,45,8,1,0,1,25,8,22,0,1,0,6,7,132,3,0,3,0,29,0,1,1,40,93,1,1,0,2,0,4
WDT,0,1,1,1,0,4,3,0,0,0,32,5,8,5,0,0,0,10,0,6,0,0,0,0,1,0,0,28,0,0,20,43,0,0,0,0
WP,0,0,7,0,0,2,1,0,0,0,4,4,0,4,0,0,0,14,0,3,0,0,0,0,1,0,0,24,0,0,5,13,0,0,0,0
WP$,0,0,0,0,0,0,3,0,0,0,0,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WRB,0,1,10,0,0,0,19,0,0,0,2,8,4,9,0,0,0,11,1,1,0,0,0,0,7,0,0,0,0,3,4,0,0,0,0,0
