TAG,CC,CD,DT,EX,FW,IN,JJ,JJR,JJS,LS,MD,NN,NNS,NP,NPS,PDT,POS,PP,PP$,RB,RBR,RBS,RP,SYM,TO,UH,VB,VBD,VBG,VBN,VBP,VBZ,WDT,WP,WP$,WRB
CC,0,28,138,2,0,30,65,4,0,0,9,89,33,138,2,0,0,31,17,35,1,2,0,0,7,0,27,40,3,6,7,29,6,0,0,0
CD,37,219,29,0,0,107,50,0,0,0,2,253,266,44,0,0,0,15,2,4,1,0,2,1,20,0,0,5,5,2,3,5,0,2,0,4
DT,2,111,3,0,0,6,648,14,18,0,7,1299,150,245,2,0,0,3,0,11,2,2,0,0,2,0,0,5,30,14,3,12,0,0,0,0
EX,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,9,13,0,0,0,0
FW,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
IN,5,307,1098,7,0,43,196,8,17,0,1,283,133,809,0,5,0,66,106,32,0,0,0,0,6,0,1,0,109,5,0,0,30,7,0,2
JJ,32,39,9,0,0,76,209,1,8,0,0,865,349,97,1,0,0,9,0,11,0,0,0,0,58,0,0,4,2,0,2,3,0,0,0,0
JJR,4,1,0,0,0,22,5,0,0,0,0,22,9,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
JJS,0,9,3,0,0,6,4,0,0,0,0,20,2,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,2,0,0,0,0
LS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MD,1,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,42,0,0,0,0,0,0,308,1,0,2,0,0,0,0,0,0
NN,251,41,174,3,2,1323,55,4,0,0,119,654,278,398,2,2,67,112,4,80,5,0,6,1,176,0,7,228,59,77,13,167,36,7,1,9
NNS,131,6,74,4,0,491,48,2,0,0,36,117,30,127,5,0,12,48,1,45,0,0,0,0,75,0,1,86,36,24,86,11,27,3,0,7
NP,233,86,128,6,2,312,59,0,0,0,74,267,76,1355,64,0,179,41,2,66,0,0,0,1,71,0,0,376,26,20,28,168,41,6,0,12
NPS,11,0,1,0,0,7,1,0,0,0,3,4,0,36,1,0,0,0,0,4,0,0,0,0,0,0,0,6,0,0,0,3,0,0,0,0
PDT,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POS,0,3,1,0,0,0,58,0,8,0,0,78,27,70,0,0,0,0,0,2,0,3,0,0,0,0,0,0,3,5,0,0,0,0,0,0
PP,10,2,2,0,1,18,3,0,0,0,71,0,1,4,0,0,0,2,0,19,1,0,1,0,3,0,2,231,3,0,90,52,0,0,0,0
PP$,0,5,0,0,0,0,52,0,0,0,0,146,61,24,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,0,1,0,0,0,0
