TAG,CC,CD,DT,EX,FW,IN,JJ,JJR,JJS,LS,MD,NN,NNS,NP,NPS,PDT,POS,PP,PP$,RB,RBR,RBS,RP,SYM,TO,UH,VB,VBD,VBG,VBN,VBP,VBZ,WDT,WP,WP$,WRB
CC,0,31,58,0,0,24,110,24,1,0,22,53,48,98,0,0,0,16,5,25,2,0,0,0,0,1,46,31,14,21,3,22,0,1,1,1
CD,36,26,32,0,0,112,37,7,0,0,1,144,126,67,0,0,0,13,0,12,0,0,0,0,29,0,0,9,5,5,0,1,0,1,0,2
DT,0,50,0,0,0,15,405,9,12,0,8,901,189,216,0,0,0,4,1,27,0,3,0,0,1,0,0,0,31,21,1,17,2,0,0,0
EX,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0
FW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IN,4,137,773,1,0,28,263,5,8,0,0,297,155,616,2,4,0,53,78,44,0,0,0,0,4,0,2,3,105,11,0,1,8,3,2,0
JJ,51,114,12,0,0,100,114,0,9,0,2,624,397,86,0,0,0,10,2,14,0,0,0,0,44,0,0,3,11,5,1,0,0,0,0,1
JJR,1,0,0,0,0,42,5,0,0,0,0,19,15,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0
JJS,0,0,0,0,0,5,12,0,0,0,0,22,7,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
LS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MD,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,52,0,0,0,0,0,0,286,0,0,0,0,0,0,0,0,0
NN,195,43,114,5,0,862,49,3,0,0,77,504,443,255,2,0,63,59,2,57,6,0,3,0,96,0,7,226,56,71,17,105,35,3,0,7
NNS,147,4,95,1,1,495,60,0,1,0,78,71,48,143,2,2,9,49,5,51,1,2,0,0,92,0,6,179,71,75,82,12,20,13,3,6
NP,152,78,140,3,0,188,38,0,0,0,64,260,131,1373,93,0,125,33,3,39,3,3,0,0,31,0,6,369,16,11,16,93,27,9,3,3
NPS,10,0,12,0,0,14,2,0,0,0,0,9,6,35,0,0,0,1,1,0,0,0,0,0,1,0,0,4,1,3,1,1,1,0,0,0
PDT,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POS,0,7,0,0,0,0,32,0,10,0,0,76,26,35,0,0,0,0,0,1,0,1,0,0,0,0,0,1,5,0,0,3,0,0,0,0
PP,3,0,5,0,0,13,5,0,3,0,62,4,0,8,0,0,0,2,0,22,0,0,0,0,9,0,4,126,2,0,80,64,2,0,0,0
PP$,0,9,0,0,0,0,41,1,7,0,0,71,41,10,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0
RB,10,28,42,1,0,66,96,9,2,0,3,6,6,9,0,2,0,11,3,39,15,0,0,0,20,0,78,34,22,79,14,40,0,0,0,3
RBR,1,0,4,0,0,9,15,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,2,3,0,5,0,1,0,0,0,0
RBS,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
RP,4,5,6,0,0,22,3,0,0,0,0,6,2,5,0,0,0,2,4,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,1
SYM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TO,0,37,45,0,0,0,26,0,0,0,0,35,26,35,0,0,0,2,12,13,1,0,0,0,0,0,314,0,4,0,0,0,0,0,0,0
UH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VB,16,17,162,0,0,62,83,9,0,0,0,58,40,48,1,1,0,21,26,47,6,0,16,0,44,0,4,0,11,82,0,0,1,0,0,7
VBD,2,38,168,1,0,143,84,2,1,0,5,67,17,156,0,2,0,70,16,60,4,0,15,0,40,0,3,2,46,82,0,0,0,0,0,0
VBG,4,15,80,0,0,59,45,5,0,0,0,62,53,46,0,0,0,10,16,9,1,0,16,0,27,0,1,0,2,10,0,0,0,0,0,0
VBN,15,8,41,0,0,299,15,2,0,0,0,45,29,26,0,0,0,13,2,20,2,0,12,0,65,0,0,4,7,10,0,1,0,0,0,1
VBP,0,3,30,0,0,13,13,1,0,0,0,5,8,5,2,0,0,16,0,32,3,0,2,0,21,0,2,0,28,47,0,0,0,0,0,0
VBZ,6,16,74,0,0,30,30,10,0,0,0,17,9,23,0,0,0,13,6,61,0,0,1,0,19,0,1,0,20,70,0,0,0,1,0,2
WDT,0,0,2,0,0,4,2,0,1,0,16,1,1,2,0,0,0,4,1,5,0,0,0,0,0,0,0,18,0,0,10,32,0,0,0,0
WP,0,0,0,0,0,1,0,0,0,0,2,1,0,1,0,0,0,1,0,2,0,0,0,0,0,0,0,12,0,0,6,5,0,0,0,0
WP$,0,0,0,0,0,0,3,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WRB,1,0,13,0,0,0,6,0,0,0,0,1,1,3,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
