TAG,CC,CD,DT,EX,FW,IN,JJ,JJR,JJS,LS,MD,NN,NNS,NP,NPS,PDT,POS,PP,PP$,RB,RBR,RBS,RP,SYM,TO,UH,VB,VBD,VBG,VBN,VBP,VBZ,WDT,WP,WP$,WRB
CC,0,11,87,2,0,26,94,3,0,0,15,87,56,107,1,0,0,6,8,23,2,2,0,0,12,1,28,64,16,14,8,10,0,0,0,2
CD,24,48,14,0,0,57,29,0,0,0,4,122,160,33,2,0,0,10,0,5,2,0,0,0,8,0,0,15,5,7,1,1,1,0,0,3
DT,0,57,2,0,0,13,657,9,20,0,1,1117,154,292,4,0,0,2,0,16,5,6,0,0,0,0,0,5,28,13,0,13,0,2,0,0
EX,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,2,18,0,0,0,0
FW,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IN,3,181,1035,7,0,21,407,18,5,0,1,336,169,672,1,8,0,70,117,24,0,0,0,0,2,0,0,0,154,8,0,1,7,10,0,5
JJ,45,47,11,0,0,107,210,1,3,0,3,1041,589,130,1,0,0,31,0,8,0,0,0,0,70,0,1,3,6,2,3,1,0,1,0,4
JJR,0,4,0,0,0,26,6,0,0,0,0,23,11,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JJS,1,2,0,0,0,9,8,0,0,0,0,17,7,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MD,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,68,1,0,0,0,1,0,230,1,0,0,0,0,0,0,0,0
NN,262,16,146,1,0,1368,84,3,1,0,84,454,267,244,0,0,65,131,8,56,5,0,0,2,242,0,7,310,42,80,12,83,54,18,2,14
NNS,159,4,62,4,0,583,51,0,3,0,57,69,43,82,0,0,19,57,3,39,0,0,0,0,107,0,3,216,31,53,120,17,30,10,0,2
NP,123,38,82,2,1,234,64,0,0,0,54,220,130,915,66,0,302,58,3,28,5,1,0,0,53,0,4,394,12,8,13,94,37,22,1,8
NPS,8,0,4,0,0,17,0,0,0,0,8,2,0,11,0,0,1,0,0,1,0,0,0,0,4,0,0,6,1,1,2,8,1,0,0,0
PDT,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POS,0,2,2,0,0,1,111,2,11,0,0,159,20,58,0,0,0,0,0,3,0,0,0,0,0,0,0,1,12,4,0,1,0,0,0,0
PP,2,0,8,1,0,19,4,0,0,0,49,1,1,3,0,0,0,5,0,15,0,0,1,0,16,0,1,309,1,1,92,58,0,1,0,0
PP$,0,1,0,0,0,0,50,0,1,0,0,132,31,7,0,0,0,0,0,1,0,1,0,0,0,0,0,0,5,4,0,0,0,0,0,0
RB,7,36,34,0,0,88,87,2,0,0,3,6,8,12,0,2,0,14,1,51,3,0,0,0,17,0,107,42,23,146,10,14,0,0,0,1
RBR,0,0,12,0,0,5,14,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0
RBS,0,0,0,0,0,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
RP,0,0,14,0,0,31,4,0,0,0,0,4,2,2,0,0,0,1,3,1,0,0,0,0,6,0,0,0,2,0,0,0,0,0,0,0
SYM,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TO,0,33,92,0,0,1,30,4,0,0,0,23,7,74,0,1,0,3,5,7,0,0,0,0,0,0,549,0,3,0,0,0,0,0,0,0
UH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
