TAG,CC,CD,DT,EX,FW,IN,JJ,JJR,JJS,LS,MD,NN,NNS,NP,NPS,PDT,POS,PP,PP$,RB,RBR,RBS,RP,SYM,TO,UH,VB,VBD,VBG,VBN,VBP,VBZ,WDT,WP,WP$,WRB
CC,1,26,103,2,0,49,119,14,1,0,17,119,51,152,3,0,0,37,5,28,0,0,1,0,4,0,54,23,22,7,5,21,4,0,0,2
CD,42,80,33,0,0,91,56,5,1,12,5,277,165,59,1,0,0,16,0,10,1,0,0,0,20,0,0,10,9,5,0,4,1,1,0,1
DT,0,79,3,0,0,23,722,26,36,0,5,1195,183,182,9,0,0,1,0,31,2,14,2,0,5,0,0,8,21,11,8,29,0,0,0,0
EX,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,8,13,0,0,0,0
FW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IN,3,183,1073,6,0,55,282,24,16,0,0,436,194,698,0,10,0,79,98,41,1,0,0,0,8,0,0,1,85,19,1,0,9,8,3,8
JJ,43,131,17,1,0,119,161,4,5,0,0,1042,372,113,17,0,0,23,3,15,0,0,0,0,92,0,0,6,36,6,0,3,2,0,0,1
JJR,1,0,4,0,0,40,7,0,0,0,0,49,22,1,0,0,0,1,1,0,0,0,0,0,4,0,0,3,0,0,0,1,0,0,0,0
JJS,1,1,3,0,0,12,14,0,0,0,0,21,18,7,0,0,0,0,0,5,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0
LS,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MD,0,0,0,0,0,3,0,0,0,0,0,3,0,4,0,0,0,0,0,57,0,0,0,0,0,0,467,1,0,0,0,0,0,0,0,0
NN,326,52,137,5,0,1330,87,5,0,0,149,923,376,396,0,0,66,147,14,121,13,0,4,0,192,1,1,281,72,83,24,205,59,10,0,17
NNS,162,4,70,1,0,478,43,5,1,0,66,132,51,94,2,1,15,60,5,69,6,1,1,0,78,0,2,152,45,46,150,25,32,18,3,11
NP,203,122,121,1,0,254,74,0,1,0,108,249,112,1224,143,0,158,67,4,61,1,0,1,0,32,0,4,335,23,9,23,167,33,15,3,15
NPS,6,3,9,0,0,16,0,0,0,0,6,5,0,112,1,0,1,5,0,3,0,0,0,0,1,0,0,3,1,0,7,1,1,0,0,0
PDT,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POS,0,5,0,0,0,0,58,0,18,0,0,101,22,28,3,0,0,0,0,4,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0
PP,10,0,3,0,0,24,5,1,0,0,129,7,3,15,0,0,0,1,0,43,0,0,10,0,15,0,3,159,5,2,130,107,0,0,0,3
PP$,0,2,0,0,0,0,70,1,2,0,0,96,33,6,0,0,0,0,0,6,0,0,0,0,0,0,0,0,6,3,0,0,0,0,0,0
RB,23,45,76,3,0,152,118,16,1,0,8,12,11,35,0,1,0,27,0,114,6,0,0,0,23,0,99,46,30,101,26,42,3,1,0,3
RBR,1,0,15,0,0,7,9,0,0,0,0,2,1,0,0,0,0,2,1,4,0,0,0,0,3,0,0,2,0,2,0,2,0,0,0,0
RBS,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
RP,6,2,31,2,0,36,4,1,0,0,0,3,9,4,0,0,0,0,2,7,0,0,0,0,10,0,0,1,1,0,0,0,0,0,0,0
SYM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TO,0,52,79,0,0,0,30,1,0,0,0,60,14,41,2,2,0,4,6,8,1,0,0,0,0,0,434,0,3,0,0,0,0,1,0,0
UH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VB,13,26,279,0,0,115,111,13,0,0,0,55,41,64,0,1,0,46,30,61,7,0,40,0,44,0,9,2,27,87,0,3,1,2,0,2
VBD,6,39,158,4,0,153,56,2,0,0,1,107,36,205,0,1,2,55,21,71,5,0,13,0,35,0,0,0,34,84,0,0,0,0,0,0
VBG,7,12,90,0,0,76,38,2,0,0,0,87,66,18,0,1,0,15,16,23,1,0,18,0,52,0,0,0,3,13,1,1,1,0,0,1
VBN,10,14,58,0,0,236,28,2,0,0,1,52,16,37,0,0,0,17,2,31,2,0,16,0,63,0,1,4,18,23,0,1,0,1,0,6
VBP,2,8,63,2,0,31,28,2,4,0,0,24,5,21,0,0,0,13,9,67,2,1,3,0,30,0,2,1,31,54,1,2,0,3,0,0
VBZ,4,19,139,2,0,39,70,9,1,0,1,27,14,22,0,4,0,18,4,128,3,0,10,0,26,0,3,0,65,79,0,0,0,4,0,1
