TAG,CC,CD,DT,EX,FW,IN,JJ,JJR,JJS,LS,MD,NN,NNS,NP,NPS,PDT,POS,PP,PP$,RB,RBR,RBS,RP,SYM,TO,UH,VB,VBD,VBG,VBN,VBP,VBZ,WDT,WP,WP$,WRB
CC,0,20,65,2,0,25,98,6,0,0,6,99,25,88,0,0,0,31,10,21,1,1,0,0,7,0,37,34,11,6,5,10,1,0,0,3
CD,29,27,23,0,0,138,37,0,0,0,2,130,126,74,0,0,0,9,0,11,0,0,0,0,29,0,0,16,14,4,2,2,2,0,0,7
DT,0,29,4,0,1,10,507,16,35,0,8,1131,132,220,3,0,0,0,0,30,4,12,1,0,0,0,0,2,15,14,1,16,0,0,0,0
EX,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,3,21,0,0,0,0
FW,0,0,0,0,1,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IN,6,148,935,6,0,41,254,24,9,0,0,355,175,474,0,0,0,94,143,66,2,0,0,0,2,0,2,0,76,9,0,0,4,5,0,2
JJ,30,143,28,2,0,98,122,1,4,0,1,895,331,58,3,0,1,7,2,10,0,0,0,0,70,0,0,4,7,8,0,0,0,0,0,1
JJR,0,0,0,0,0,30,3,0,0,0,0,18,28,4,0,0,0,0,0,2,0,0,0,0,4,0,0,0,2,0,0,0,0,0,0,0
JJS,0,4,4,0,0,1,4,0,0,0,0,30,2,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
LS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MD,1,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,1,0,39,2,0,0,0,1,0,260,1,0,0,0,0,0,0,0,0
NN,242,38,158,5,0,1129,54,2,0,0,57,553,398,401,0,0,47,106,9,120,13,0,3,0,146,0,11,195,81,52,15,137,90,10,0,8
NNS,127,6,62,5,0,437,48,2,0,0,51,57,37,116,0,0,10,51,3,71,11,1,3,0,73,0,4,168,57,34,100,26,35,17,0,10
NP,97,99,108,3,4,138,75,0,0,0,50,239,83,1252,107,0,252,24,10,29,2,0,0,0,20,0,0,462,19,11,16,126,32,24,0,2
NPS,10,0,1,0,0,7,2,0,0,0,3,26,3,34,0,0,2,4,0,0,2,0,0,0,1,0,0,8,4,2,0,1,4,0,0,0
PDT,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POS,1,4,2,0,0,6,61,0,2,0,4,124,28,40,0,0,0,0,0,5,0,2,0,0,0,0,0,10,5,3,1,12,2,0,0,0
PP,8,0,15,0,0,18,9,0,0,0,71,3,3,18,0,0,0,3,0,25,0,0,4,0,3,0,2,168,0,3,138,93,0,0,0,0
PP$,0,2,0,0,0,0,94,0,0,0,0,139,45,27,1,0,0,0,0,1,0,0,0,0,0,0,0,0,8,1,0,0,0,0,0,0
RB,11,60,38,2,0,106,125,7,0,0,19,6,10,39,0,1,0,21,3,48,6,0,0,0,26,0,100,48,36,90,16,33,1,0,0,0
RBR,0,0,18,0,0,6,15,0,0,0,0,2,0,7,0,0,0,1,0,2,0,0,0,0,0,0,2,0,3,2,0,0,0,1,0,0
RBS,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP,8,0,6,0,0,9,2,2,0,0,0,1,2,8,0,0,0,2,5,2,0,0,0,0,4,0,0,1,2,0,2,0,0,0,0,1
SYM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
