TAG,CC,CD,DT,EX,FW,IN,JJ,JJR,JJS,LS,MD,NN,NNS,NP,NPS,PDT,POS,PP,PP$,RB,RBR,RBS,RP,SYM,TO,UH,VB,VBD,VBG,VBN,VBP,VBZ,WDT,WP,WP$,WRB
CC,0,30,74,1,0,32,88,4,2,0,14,119,88,112,0,0,0,38,10,36,10,0,1,0,8,0,41,31,30,9,4,23,2,1,0,1
CD,37,54,30,0,0,103,36,4,0,0,16,164,167,27,0,0,1,10,1,11,0,0,0,0,25,0,0,19,22,12,1,10,5,0,0,0
DT,0,59,0,0,2,28,611,17,23,0,5,1330,135,185,3,0,0,4,0,37,7,10,0,0,1,0,2,2,33,14,3,28,2,1,0,0
EX,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,7,8,0,0,0,0
FW,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IN,3,176,1089,2,0,49,316,21,8,0,0,463,261,434,0,2,0,105,148,55,0,0,0,0,7,0,4,5,154,16,0,0,18,5,0,5
JJ,33,119,17,0,0,140,165,0,1,0,0,954,489,127,0,0,0,18,0,13,3,0,0,0,98,0,0,6,16,4,2,5,1,0,0,0
JJR,2,0,0,0,0,55,11,0,0,0,0,24,15,2,0,0,0,1,0,0,0,0,0,0,3,0,1,0,1,0,0,0,0,0,0,0
JJS,1,5,2,0,0,2,3,0,0,0,0,22,6,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0
LS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MD,1,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,45,3,1,0,0,0,0,304,2,0,0,0,0,0,0,0,0
NN,261,56,183,3,0,1290,89,7,0,0,97,782,486,260,0,0,68,113,7,129,16,0,0,0,179,0,6,212,92,91,19,180,89,8,1,15
NNS,256,20,111,3,0,589,59,0,1,0,64,51,78,78,2,0,11,62,6,91,5,1,1,0,130,0,13,173,92,76,155,20,54,24,3,6
NP,123,72,75,0,0,115,71,1,0,0,32,261,120,1038,106,0,100,18,7,36,2,0,0,0,33,0,3,242,26,8,29,104,48,24,7,5
NPS,5,0,3,0,0,6,0,0,0,0,0,4,2,80,0,0,5,0,0,2,0,0,0,0,0,0,0,5,1,0,2,0,0,1,0,0
PDT,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POS,0,3,0,0,0,0,41,0,9,0,1,61,24,35,0,0,0,0,0,4,0,2,0,0,0,0,0,0,2,3,0,0,0,0,0,0
PP,5,1,2,0,0,32,5,2,0,0,67,2,0,6,0,0,0,5,0,23,4,0,0,0,16,0,9,215,4,2,115,110,3,2,0,5
PP$,0,6,0,0,0,0,95,1,4,0,0,135,56,16,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0
RB,20,41,66,4,0,123,133,16,0,0,6,15,17,14,4,0,0,23,2,80,9,0,0,0,28,1,75,41,50,77,23,34,0,2,0,3
RBR,7,0,9,0,0,20,33,0,0,0,0,0,0,0,0,0,0,6,0,5,0,0,0,0,0,0,1,6,0,3,0,0,0,0,0,1
RBS,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP,4,0,17,0,0,23,7,1,0,0,0,7,7,2,0,0,0,0,3,2,0,0,0,0,14,0,0,0,2,0,0,0,0,2,0,0
SYM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TO,1,40,78,0,0,0,30,3,0,0,0,41,23,41,0,1,0,3,10,16,0,0,0,0,0,0,550,0,9,0,0,0,0,1,0,0
UH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VB,24,13,215,1,0,128,115,13,1,0,0,83,83,23,0,4,0,42,52,41,5,0,34,0,32,0,5,1,22,76,0,1,0,6,0,5
VBD,8,28,190,3,0,127,81,6,0,0,5,38,36,117,0,0,0,82,28,67,5,0,13,0,51,0,1,5,42,81,0,2,1,0,0,4
VBG,6,15,150,0,0,81,65,2,0,0,0,93,68,34,0,0,0,16,23,25,6,0,21,0,77,0,0,1,5,21,1,3,1,2,0,1
VBN,11,5,40,0,0,319,22,4,0,0,0,32,25,36,1,0,0,14,7,36,7,0,14,0,89,0,2,2,25,17,2,4,0,1,0,2
VBP,0,1,50,4,0,38,32,7,0,0,0,18,5,10,0,0,0,31,2,66,1,0,4,0,21,0,2,0,41,66,0,7,1,1,0,1
VBZ,1,8,130,1,0,39,72,5,0,0,2,25,22,11,0,1,0,11,7,71,7,0,3,0,35,0,4,0,43,137,0,3,0,4,0,3
WDT,0,1,1,0,0,2,4,0,0,0,39,3,10,10,0,0,0,9,0,9,1,0,0,0,0,0,2,33,0,0,22,79,0,0,0,0
WP,0,0,2,0,0,2,0,0,0,0,9,0,2,1,0,0,0,12,0,1,0,0,0,0,0,0,0,16,0,0,19,21,0,0,0,0
WP$,0,0,0,0,0,0,4,0,0,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WRB,0,1,3,0,0,0,10,1,0,0,0,5,8,4,0,0,0,11,4,0,0,0,0,0,0,0,0,0,2,1,4,3,0,0,0,0
