TAG,CC,CD,DT,EX,FW,IN,JJ,JJR,JJS,LS,MD,NN,NNS,NP,NPS,PDT,POS,PP,PP$,RB,RBR,RBS,RP,SYM,TO,UH,VB,VBD,VBG,VBN,VBP,VBZ,WDT,WP,WP$,WRB
CC,0,19,127,7,0,55,76,4,0,0,9,79,49,98,2,0,0,28,15,35,3,0,0,0,2,0,42,52,21,12,6,23,2,3,0,2
CD,33,246,16,0,0,56,17,2,0,0,8,232,333,46,0,0,0,5,0,6,0,0,0,3,18,0,0,13,8,3,2,8,2,0,0,2
DT,2,112,7,0,0,15,480,13,17,0,15,1307,236,184,6,0,0,4,0,24,4,6,0,0,0,0,2,17,28,11,9,9,0,1,0,0
EX,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,17,0,0,5,22,0,0,0,0
FW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IN,18,237,1084,4,0,39,291,17,9,0,1,388,215,376,0,4,0,94,98,52,1,0,0,0,17,0,2,2,126,11,0,0,8,6,2,4
JJ,46,34,13,1,0,116,104,5,7,0,0,858,401,40,0,0,2,12,2,10,0,2,0,1,95,0,0,10,14,0,4,5,1,0,0,2
JJR,1,1,0,0,0,23,17,0,0,0,1,31,16,1,0,0,0,1,0,0,1,0,1,0,2,0,0,1,0,1,0,0,0,0,0,0
JJS,0,6,1,0,0,4,3,0,0,0,0,25,9,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2,1,0,0,0,0,0,0
LS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MD,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2,0,55,0,0,0,0,0,0,332,0,0,0,0,0,0,0,0,0
NN,297,56,173,10,0,1203,77,11,2,0,107,631,332,238,2,0,82,75,7,80,10,1,2,7,234,0,3,274,67,53,16,141,67,6,1,13
NNS,171,8,114,7,0,643,69,8,1,0,80,107,43,78,0,0,28,56,0,50,3,0,0,7,110,0,2,190,66,43,108,20,21,10,0,10
NP,133,37,62,3,0,138,49,0,0,0,29,146,60,736,23,0,147,31,1,27,2,0,0,4,17,0,1,228,19,4,24,57,18,5,3,4
NPS,9,0,1,0,0,1,1,0,0,0,2,5,0,9,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0
PDT,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POS,0,15,0,0,0,5,52,0,14,0,0,104,43,22,0,0,0,0,0,2,0,1,0,0,0,0,0,1,3,0,0,0,0,0,0,0
PP,4,0,12,0,0,17,3,0,0,0,104,2,2,1,0,1,0,4,0,15,3,0,4,0,22,0,2,198,2,3,120,62,0,0,0,0
PP$,0,3,0,0,0,1,83,0,1,0,0,96,49,4,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RB,13,54,45,2,0,114,99,7,0,0,5,4,5,3,0,2,1,22,3,70,9,0,0,0,30,0,83,47,32,109,6,14,0,0,0,4
RBR,1,0,12,0,0,9,19,0,0,0,0,0,1,3,0,0,0,2,0,3,0,0,0,0,1,0,4,0,0,3,0,0,0,0,0,0
RBS,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP,2,3,19,1,0,43,6,0,0,0,0,4,6,4,0,1,0,1,0,1,1,0,0,0,14,0,0,0,1,0,0,0,0,2,0,0
SYM,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TO,0,89,99,0,0,2,28,7,0,0,0,28,39,27,0,0,0,3,9,7,1,0,0,0,0,0,563,0,5,0,0,0,0,0,0,2
UH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VB,10,16,222,1,0,121,79,12,0,0,0,66,62,25,0,9,0,46,58,42,9,0,41,1,49,0,6,3,36,132,0,0,1,0,0,4
VBD,3,62,193,9,0,125,92,6,0,0,3,43,33,65,0,0,0,90,11,106,3,0,12,0,55,0,5,2,51,132,0,0,0,0,0,0
VBG,6,12,111,0,0,78,32,3,0,0,1,59,77,17,1,1,0,16,17,22,1,0,14,0,52,0,0,3,7,14,0,0,0,3,0,1
VBN,18,10,63,1,0,247,25,2,2,0,0,36,22,15,0,1,0,28,12,28,1,0,35,1,135,0,0,1,12,42,0,1,3,1,0,6
VBP,2,2,29,2,0,16,24,0,0,0,0,6,9,4,0,4,0,15,0,58,3,0,0,0,27,0,3,0,31,79,0,1,0,0,0,0
VBZ,0,12,65,0,0,30,33,1,0,0,0,18,3,7,0,2,0,6,6,80,1,0,0,0,27,0,0,0,15,93,1,0,0,3,0,3
WDT,0,0,4,0,0,2,0,0,0,0,20,1,1,4,0,0,0,12,0,6,0,0,0,0,0,0,0,32,0,2,4,35,0,0,0,0
WP,0,0,1,0,0,0,3,0,0,0,3,1,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,8,0,0,10,6,0,0,0,0
WP$,0,1,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WRB,2,0,10,1,0,0,12,0,0,0,0,0,3,2,0,0,0,20,1,2,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0
