TAG,CC,CD,DT,EX,FW,IN,JJ,JJR,JJS,LS,MD,NN,NNS,NP,NPS,PDT,POS,PP,PP$,RB,RBR,RBS,RP,SYM,TO,UH,VB,VBD,VBG,VBN,VBP,VBZ,WDT,WP,WP$,WRB
CC,0,17,55,2,0,25,75,1,2,0,12,60,35,68,0,1,0,36,7,18,0,2,0,0,12,0,32,48,19,14,2,13,0,1,0,2
CD,30,63,35,0,0,58,46,2,0,0,4,96,162,48,0,0,0,9,3,6,0,0,0,0,14,0,0,16,7,7,0,5,1,1,0,10
DT,1,44,2,0,1,14,655,4,8,0,2,984,93,247,4,0,0,1,1,15,3,1,0,0,0,0,0,2,20,21,1,25,0,1,0,0
EX,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,2,10,0,0,0,0
FW,0,0,0,0,1,0,1,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IN,2,183,947,5,0,32,233,21,10,0,0,278,129,735,4,3,0,98,99,37,0,0,0,0,1,0,0,0,109,4,0,0,9,13,0,2
JJ,62,16,10,2,0,102,186,0,5,0,2,926,398,143,0,0,0,19,3,9,0,0,0,0,39,0,0,7,8,1,4,2,1,1,0,2
JJR,0,2,0,0,0,30,5,0,0,0,0,11,7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JJS,4,5,0,0,0,4,7,0,0,0,0,16,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
LS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MD,2,0,1,0,0,2,3,0,0,0,0,1,0,0,0,0,0,3,0,55,0,0,0,0,1,0,270,1,0,1,0,0,0,0,0,0
NN,188,28,140,2,0,1116,60,2,0,0,80,330,151,223,0,1,57,112,4,85,9,1,3,0,153,1,4,209,47,49,10,131,56,18,1,26
NNS,99,3,44,1,0,438,27,2,0,0,31,36,26,67,0,0,5,43,6,30,4,0,0,0,67,0,3,135,43,47,78,17,21,15,0,16
NP,115,139,101,0,8,302,50,1,1,0,55,170,68,1165,29,0,288,32,4,39,2,0,1,3,61,0,4,315,28,18,13,114,20,19,5,17
NPS,6,0,0,0,0,4,1,0,0,0,0,2,3,5,0,0,0,3,0,4,0,0,0,0,1,0,0,2,5,1,2,1,0,0,0,0
PDT,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POS,0,9,0,0,0,0,116,0,13,0,0,116,27,57,0,0,0,0,0,3,0,2,0,0,0,0,0,0,2,6,0,0,0,0,0,0
PP,3,0,8,0,0,26,7,0,0,0,104,1,4,7,0,0,0,7,0,29,0,0,3,0,8,0,6,194,2,0,113,76,0,0,0,1
PP$,0,8,0,0,0,0,74,1,3,0,0,109,44,5,0,0,0,0,0,2,0,1,0,0,0,0,0,0,1,7,0,1,0,0,0,0
RB,6,35,40,0,0,103,83,2,0,0,3,3,4,10,1,1,0,26,6,51,2,0,0,0,32,0,90,44,20,85,11,14,0,0,0,2
RBR,0,0,6,0,0,5,11,0,1,0,0,0,4,1,0,0,0,0,0,1,0,0,0,0,3,0,0,5,0,2,0,0,0,0,0,1
RBS,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP,1,0,20,1,0,49,3,1,0,0,0,4,5,2,0,0,0,0,3,4,0,0,0,0,16,0,1,1,0,1,0,0,0,0,0,0
SYM,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TO,0,24,82,0,0,2,31,0,0,0,0,9,2,81,1,0,0,2,6,5,0,0,0,0,0,0,437,0,5,0,0,0,0,0,0,0
UH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VB,10,12,196,0,0,119,72,4,0,0,1,28,26,68,0,1,1,35,50,30,5,0,33,0,38,0,5,4,18,86,0,1,4,2,0,6
VBD,9,5,186,5,0,132,72,2,0,0,0,20,40,132,1,1,0,74,21,71,7,0,28,0,58,0,1,3,26,147,0,1,3,6,0,3
VBG,5,8,77,0,0,68,36,5,0,0,0,38,42,37,0,0,0,16,22,11,1,0,13,0,27,0,0,0,1,10,2,0,0,1,0,0
VBN,12,4,62,1,0,258,31,3,0,0,4,35,21,41,0,0,0,13,9,34,3,0,23,0,91,0,0,4,16,23,0,2,0,3,0,2
VBP,1,3,27,1,0,22,15,2,0,0,0,1,0,9,0,0,0,25,6,55,1,0,0,0,10,0,1,3,18,51,1,1,0,0,0,0
VBZ,2,12,73,0,0,38,25,2,1,0,0,10,1,9,0,0,0,9,2,74,2,0,8,0,51,0,1,1,23,111,1,0,0,0,0,3
WDT,0,1,2,0,0,4,2,0,0,0,20,0,2,8,0,0,0,5,0,4,0,0,0,0,0,0,0,29,0,0,7,31,0,0,0,0
WP,0,0,2,0,0,1,0,1,0,0,18,1,0,1,0,0,0,10,1,1,0,0,0,0,0,0,0,25,0,1,6,13,0,0,0,0
WP$,0,0,0,0,0,0,1,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WRB,1,0,26,0,0,0,13,0,0,0,1,1,3,17,0,0,0,19,3,1,0,0,0,0,4,0,0,0,2,2,0,0,0,0,0,0
