TAG,CC,CD,DT,EX,FW,IN,JJ,JJR,JJS,LS,MD,NN,NNS,NP,NPS,PDT,POS,PP,PP$,RB,RBR,RBS,RP,SYM,TO,UH,VB,VBD,VBG,VBN,VBP,VBZ,WDT,WP,WP$,WRB
CC,0,19,89,5,0,36,53,3,1,0,5,105,65,125,5,0,0,42,13,16,2,0,0,0,2,0,15,30,22,7,1,7,2,3,0,0
CD,26,453,43,0,0,165,64,1,4,0,0,454,272,49,0,0,2,18,0,17,1,0,0,0,45,0,0,12,8,19,1,3,2,0,0,1
DT,1,152,3,0,0,11,460,13,15,0,4,1086,81,168,7,0,0,1,1,20,1,3,1,0,0,0,0,4,17,13,2,9,0,0,0,0
EX,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,3,17,0,0,0,0
FW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IN,2,428,995,4,0,55,270,19,16,0,3,360,159,550,1,3,0,61,155,55,0,0,0,0,0,0,0,1,87,22,0,1,7,6,0,2
JJ,28,36,14,1,0,98,86,6,2,0,2,828,285,65,0,2,0,11,0,14,0,0,0,0,75,0,0,9,11,4,1,1,0,0,0,0
JJR,1,4,3,0,0,52,4,0,0,0,1,32,20,3,0,0,0,0,0,4,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
JJS,1,8,2,0,0,9,1,0,0,0,0,22,7,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0
LS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,26,0,0,0,0,1,0,222,0,0,0,0,0,0,0,0,0
NN,229,58,110,5,0,1330,70,13,0,0,63,667,375,318,4,2,76,93,5,85,14,1,4,0,186,0,7,259,54,71,10,145,45,5,1,23
NNS,151,6,74,1,0,523,35,3,0,0,36,111,38,87,1,1,10,39,4,68,1,0,1,0,57,0,4,192,40,40,126,18,27,7,0,5
NP,179,80,78,0,0,202,48,0,0,0,34,228,103,711,42,0,184,39,6,37,2,0,0,0,41,0,3,243,26,27,17,88,21,6,3,4
NPS,16,0,5,0,0,9,3,0,0,0,1,1,3,8,0,0,0,2,0,1,0,0,0,0,1,0,0,3,0,0,0,1,4,1,0,2
PDT,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POS,2,9,2,0,0,0,52,0,8,0,0,80,59,34,1,0,0,0,0,2,1,0,0,0,0,0,0,2,10,7,1,2,1,0,0,0
PP,0,0,7,0,0,21,3,3,0,0,74,0,1,6,0,0,1,3,0,23,1,0,1,0,3,0,4,150,1,0,146,45,0,0,0,0
PP$,0,12,0,0,0,0,83,0,5,0,0,104,61,25,0,0,0,0,0,2,0,0,0,0,0,0,0,0,3,10,0,0,0,0,0,0
RB,10,113,37,4,0,144,92,20,2,0,2,7,7,14,0,0,0,25,1,71,8,0,0,0,21,0,47,30,30,57,19,34,0,0,0,1
RBR,0,0,4,0,0,9,13,0,0,0,0,0,0,3,0,0,0,1,1,4,0,0,0,0,0,0,2,2,5,4,0,0,0,0,0,0
RBS,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
RP,2,2,14,0,0,41,7,0,0,0,0,2,5,0,0,0,0,2,5,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1
SYM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TO,0,148,39,0,0,1,24,7,0,0,0,34,19,31,0,0,0,1,6,14,2,0,0,0,0,0,328,0,5,1,0,0,0,0,0,0
UH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VB,4,22,124,1,0,105,29,14,0,0,2,31,14,33,0,1,0,32,33,57,3,0,25,0,33,0,4,2,9,54,0,2,3,4,0,3
VBD,3,53,180,5,0,112,62,15,1,0,4,35,35,144,0,1,0,44,28,94,3,1,11,0,53,0,4,3,25,69,0,1,2,2,0,1
VBG,5,22,61,2,0,43,18,0,1,0,0,69,49,23,0,2,0,14,25,20,6,0,19,0,25,0,1,0,1,9,1,1,0,2,0,0
VBN,10,12,43,0,0,231,18,2,2,0,0,36,28,27,0,0,0,13,6,23,0,0,20,0,71,1,0,2,9,18,0,1,0,1,0,0
VBP,1,2,46,3,0,35,22,5,0,0,0,11,8,9,0,0,0,8,5,60,2,0,2,0,16,0,0,1,28,72,1,3,1,2,0,1
VBZ,2,20,79,0,0,30,51,3,1,0,0,18,1,10,0,0,0,11,4,72,0,0,1,0,27,0,3,0,24,66,0,1,0,0,0,3
WDT,0,0,3,0,0,0,0,0,0,0,12,1,2,5,0,0,0,7,0,4,0,0,0,0,0,0,0,29,0,0,8,44,0,0,0,0
WP,0,0,1,0,0,0,0,0,0,0,6,2,2,0,0,0,0,10,1,0,0,0,0,0,0,0,0,9,0,0,7,1,0,0,0,0
WP$,0,0,0,0,0,0,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WRB,0,2,9,0,0,0,7,0,0,0,0,3,5,3,0,0,0,12,2,1,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0
