TAG,CC,CD,DT,EX,FW,IN,JJ,JJR,JJS,LS,MD,NN,NNS,NP,NPS,PDT,POS,PP,PP$,RB,RBR,RBS,RP,SYM,TO,UH,VB,VBD,VBG,VBN,VBP,VBZ,WDT,WP,WP$,WRB
CC,0,11,73,9,0,41,84,3,0,0,8,63,30,110,0,0,0,28,9,26,1,0,0,0,5,0,20,31,24,13,7,13,3,3,0,2
CD,17,24,13,0,0,65,22,0,1,0,3,142,125,23,1,0,0,6,0,6,0,0,0,0,14,0,0,10,6,5,2,4,2,1,0,4
DT,1,71,2,0,0,24,559,9,15,0,10,1090,148,305,5,0,0,3,0,24,1,9,0,0,1,0,0,15,20,11,5,18,0,1,0,0
EX,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,18,0,0,8,6,0,0,0,0
FW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IN,1,151,1019,7,0,32,355,27,11,0,1,293,115,600,1,1,0,62,103,31,1,0,0,0,1,0,2,0,138,9,0,1,6,9,0,5
JJ,39,60,10,2,0,91,151,2,2,0,1,927,500,103,0,0,0,12,1,9,0,0,0,0,63,0,1,7,6,3,1,1,0,2,0,1
JJR,2,0,0,0,0,22,10,0,0,0,0,21,25,2,0,0,0,2,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
JJS,0,3,3,0,0,6,3,0,0,0,0,15,7,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
LS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,47,1,0,0,0,0,0,220,0,0,0,0,0,0,0,0,0
NN,226,20,150,4,0,1138,69,4,0,0,54,431,319,199,0,3,53,126,3,84,4,1,2,1,149,0,3,287,59,69,8,101,40,11,2,7
NNS,128,3,78,4,0,548,39,2,2,0,51,43,41,87,0,0,5,55,1,56,2,2,1,0,71,0,3,168,46,34,115,12,39,5,0,5
NP,150,43,104,1,0,238,50,1,0,0,36,184,81,799,69,0,210,45,6,45,6,0,0,1,34,0,1,295,23,5,15,142,14,18,2,5
NPS,7,0,6,0,0,12,3,0,0,0,3,3,1,7,0,0,0,4,0,2,0,0,0,0,3,0,0,12,1,0,6,6,1,0,0,0
PDT,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POS,0,5,0,0,0,0,80,0,6,0,0,95,33,36,0,0,0,0,0,3,0,2,0,0,0,0,0,0,2,5,0,0,1,0,0,0
PP,2,0,9,0,0,8,5,0,0,0,60,1,1,4,0,0,0,1,0,29,0,0,1,0,3,0,3,217,2,0,75,70,0,0,0,0
PP$,0,5,0,0,0,0,85,0,4,0,0,93,32,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0
RB,7,30,52,1,0,135,75,5,0,0,8,3,4,17,0,0,0,12,3,70,5,2,0,0,16,0,91,72,33,105,2,16,0,0,0,4
RBR,0,0,13,0,0,2,10,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0
RBS,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
RP,0,1,16,0,0,23,3,0,0,0,0,4,5,5,0,0,0,0,9,1,0,0,0,0,7,0,0,0,3,0,0,0,0,0,0,0
SYM,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TO,0,16,70,0,0,1,37,5,0,0,0,17,13,63,0,0,0,2,9,4,0,0,0,0,0,0,414,0,3,0,0,0,0,1,0,0
UH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VB,10,11,183,2,0,70,87,20,0,0,0,61,45,37,0,0,0,16,38,25,3,0,28,0,32,0,7,3,16,67,0,1,3,1,0,5
VBD,5,11,262,5,0,148,85,4,0,0,0,23,38,147,0,1,0,49,10,125,1,1,18,0,56,0,2,2,50,147,0,0,3,1,0,2
VBG,5,12,82,2,0,73,46,0,0,0,0,69,48,32,1,0,0,16,15,11,0,0,14,0,64,0,0,1,2,6,0,0,1,1,0,0
VBN,15,5,69,1,0,255,50,2,0,0,0,32,20,18,0,0,0,19,15,23,1,1,12,0,98,0,0,2,22,33,0,0,0,0,0,4
VBP,0,2,28,0,0,27,22,2,0,0,0,5,3,3,0,0,0,10,0,51,1,0,1,0,11,0,1,0,21,77,0,0,0,0,0,3
