author,word,wordCount,totalWords,articleCount,totalArticles
AaronPressman,internet,201,22002,29,50
AaronPressman,new,91,22002,39,50
AaronPressman,technology,15,22002,9,50
AaronPressman,cyberspace,13,22002,10,50
AaronPressman,old,13,22002,9,50
AaronPressman,national,22,22002,12,50
AaronPressman,consumers,22,22002,13,50
AaronPressman,league,6,22002,1,50
AaronPressman,said,319,22002,50,50
AaronPressman,wednesday,16,22002,11,50
AaronPressman,popular,6,22002,4,50
AaronPressman,scam,3,22002,1,50
AaronPressman,early,9,22002,9,50
AaronPressman,investors,9,22002,4,50
AaronPressman,fund,5,22002,4,50
AaronPressman,paid,8,22002,4,50
AaronPressman,deposits,3,22002,2,50
AaronPressman,later,6,22002,6,50
AaronPressman,non,29,22002,20,50
AaronPressman,profit,6,22002,6,50
AaronPressman,consumer,18,22002,14,50
AaronPressman,group,34,22002,17,50
AaronPressman,web,23,22002,9,50
AaronPressman,scams,3,22002,1,50
AaronPressman,site,22,22002,10,50
AaronPressman,set,7,22002,6,50
AaronPressman,world,19,22002,11,50
AaronPressman,wide,8,22002,8,50
AaronPressman,february,3,22002,3,50
AaronPressman,called,19,22002,14,50
AaronPressman,fraud,10,22002,4,50
AaronPressman,watch,3,22002,1,50
AaronPressman,http,8,22002,7,50
AaronPressman,www,8,22002,7,50
AaronPressman,org,4,22002,4,50
AaronPressman,reports,4,22002,2,50
AaronPressman,directly,3,22002,3,50
AaronPressman,widely,4,22002,4,50
AaronPressman,praised,8,22002,8,50
AaronPressman,law,44,22002,24,50
AaronPressman,enforcement,11,22002,7,50
AaronPressman,agencies,7,22002,6,50
AaronPressman,information,35,22002,18,50
AaronPressman,director,13,22002,9,50
AaronPressman,federal,60,22002,28,50
AaronPressman,trade,23,22002,11,50
AaronPressman,commission,35,22002,10,50
AaronPressman,protection,6,22002,6,50
AaronPressman,major,8,22002,8,50
AaronPressman,help,5,22002,5,50
AaronPressman,particular,4,22002,4,50
AaronPressman,example,18,22002,13,50
AaronPressman,used,11,22002,11,50
AaronPressman,shut,3,22002,3,50
AaronPressman,run,6,22002,6,50
AaronPressman,alliance,11,22002,5,50
AaronPressman,million,21,22002,11,50
AaronPressman,earn,5,22002,3,50
AaronPressman,month,21,22002,19,50
AaronPressman,deposit,3,22002,2,50
AaronPressman,instead,8,22002,8,50
AaronPressman,money,7,22002,5,50
AaronPressman,charged,5,22002,5,50
